System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:42:093, 157187082380701,    0.116,   49.000, 3100,  46.031,   5.338,   1.483,  27.074,   3.140,   0.872, 91,  0,   3.424,   0.397,   0.110,   6.560,   0.761,   0.211,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:42:201, 157187321680750,    0.224,   59.000, 3100,  46.297,  10.356,   2.877,  26.250,   5.985,   1.662, 92,  0,   3.971,   0.828,   0.230,   7.571,   1.581,   0.439,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:42:340, 157187628306658,    0.363,   75.000, 3000,  48.748,  17.126,   4.757,  28.565,   9.952,   2.764, 92,  0,   4.127,   1.401,   0.389,   7.388,   2.607,   0.724,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:42:494, 157187969169878,    0.518,   74.000, 2900,  45.523,  24.153,   6.709,  25.693,  13.918,   3.866, 92,  0,   3.969,   2.013,   0.559,   7.289,   3.733,   1.037,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:42:636, 157188282660956,    0.660,   82.000, 2900,  45.342,  30.591,   8.497,  25.440,  17.530,   4.869, 91,  0,   4.194,   2.609,   0.725,   7.168,   4.750,   1.319,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:42:760, 157188554920872,    0.783,   65.000, 2900,  43.994,  36.016,  10.004,  23.779,  20.462,   5.684, 89,  0,   3.919,   3.092,   0.859,   7.342,   5.655,   1.571,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:42:882, 157188826021460,    0.906,   64.000, 2900,  43.063,  41.303,  11.473,  23.438,  23.340,   6.483, 90,  0,   3.923,   3.574,   0.993,   7.299,   6.552,   1.820,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:42:899, 157188864084145,    0.923,   42.000, 3000,  43.072,  42.045,  11.679,  21.566,  23.712,   6.587, 89,  0,   3.682,   3.637,   1.010,   6.858,   6.670,   1.853,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.922903
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 42.045349
Cumulative Processor Energy_0 (mWh) = 11.679264
Average Processor Power_0 (Watt) = 45.557734

Cumulative IA Energy_0 (Joules) = 23.711609
Cumulative IA Energy_0 (mWh) = 6.586558
Average IA Power_0 (Watt) = 25.692430

Cumulative DRAM Energy_0 (Joules) = 3.637268
Cumulative DRAM Energy_0 (mWh) = 1.010352
Average DRAM Power_0 (Watt) = 3.941118

Cumulative GT Energy_0 (Joules) = 6.669800
Cumulative GT Energy_0 (mWh) = 1.852722
Average GT Power_0 (Watt) = 7.226982
