System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:43:238, 157189611902307,    0.128,   90.000, 2900,  46.726,   5.987,   1.663,  27.487,   3.522,   0.978, 92,  0,   3.960,   0.507,   0.141,   6.680,   0.856,   0.238,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:43:347, 157189852132878,    0.237,   77.000, 2900,  45.846,  10.975,   3.049,  26.183,   6.371,   1.770, 92,  0,   4.065,   0.950,   0.264,   6.900,   1.607,   0.446,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:43:454, 157190088828947,    0.344,   84.000, 2800,  46.195,  15.928,   4.424,  26.982,   9.263,   2.573, 94,  0,   3.913,   1.369,   0.380,   6.760,   2.331,   0.648,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:43:577, 157190359836240,    0.467,   65.000, 2800,  43.738,  21.296,   5.916,  24.642,  12.288,   3.413, 90,  0,   3.736,   1.828,   0.508,   6.450,   3.123,   0.867,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:43:699, 157190629178782,    0.589,   59.000, 2900,  42.546,  26.486,   7.357,  23.450,  15.148,   4.208, 90,  0,   3.489,   2.253,   0.626,   6.694,   3.940,   1.094,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:43:822, 157190901381793,    0.712,   68.000, 2900,  43.909,  31.899,   8.861,  24.373,  18.153,   5.043, 89,  0,   4.000,   2.746,   0.763,   7.023,   4.805,   1.335,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:43:943, 157191168268525,    0.833,   68.000, 2900,  44.371,  37.262,  10.351,  24.748,  21.144,   5.873, 90,  0,   4.067,   3.238,   0.899,   6.881,   5.637,   1.566,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:43:949, 157191183163875,    0.840,   34.000, 2900,  45.980,  37.572,  10.437,  24.745,  21.311,   5.920, 89,  0,   3.872,   3.264,   0.907,   6.994,   5.684,   1.579,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.839759
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 37.572449
Cumulative Processor Energy_0 (mWh) = 10.436791
Average Processor Power_0 (Watt) = 44.741966

Cumulative IA Energy_0 (Joules) = 21.311340
Cumulative IA Energy_0 (mWh) = 5.919817
Average IA Power_0 (Watt) = 25.377938

Cumulative DRAM Energy_0 (Joules) = 3.264160
Cumulative DRAM Energy_0 (mWh) = 0.906711
Average DRAM Power_0 (Watt) = 3.887022

Cumulative GT Energy_0 (Joules) = 5.684326
Cumulative GT Energy_0 (mWh) = 1.578979
Average GT Power_0 (Watt) = 6.769001
