System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:44:252, 157191851227185,    0.107,   66.000, 2900,  45.327,   4.867,   1.352,  25.964,   2.788,   0.774, 91,  0,   3.920,   0.421,   0.117,   6.850,   0.735,   0.204,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:44:388, 157192151240870,    0.243,   81.000, 2800,  45.899,  11.103,   3.084,  26.744,   6.422,   1.784, 92,  0,   3.824,   0.941,   0.261,   6.587,   1.630,   0.453,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:44:499, 157192397234477,    0.355,   82.000, 2800,  46.078,  16.237,   4.510,  27.054,   9.436,   2.621, 92,  0,   3.826,   1.367,   0.380,   6.255,   2.327,   0.646,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:44:622, 157192669654165,    0.478,   90.000, 2800,  45.517,  21.853,   6.070,  26.330,  12.684,   3.523, 93,  0,   3.950,   1.854,   0.515,   6.715,   3.156,   0.877,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:44:731, 157192908154125,    0.586,   69.000, 2800,  44.530,  26.663,   7.406,  25.591,  15.448,   4.291, 92,  0,   3.729,   2.257,   0.627,   6.435,   3.851,   1.070,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:44:855, 157193182360519,    0.710,   92.000, 2800,  45.638,  32.330,   8.981,  26.722,  18.767,   5.213, 92,  0,   3.932,   2.745,   0.763,   6.409,   4.647,   1.291,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:44:979, 157193456332301,    0.834,   88.000, 2700,  44.937,  37.906,  10.529,  25.914,  21.982,   6.106, 92,  0,   4.081,   3.252,   0.903,   6.403,   5.441,   1.511,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:45:134, 157193799439879,    0.990,   90.000, 2700,  44.112,  44.761,  12.434,  25.243,  25.905,   7.196, 89,  0,   3.731,   3.831,   1.064,   6.194,   6.404,   1.779,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:45:141, 157193813628579,    0.996,   53.000, 2700,  40.329,  45.020,  12.506,  24.002,  26.059,   7.239, 89,  0,   3.714,   3.855,   1.071,   6.696,   6.447,   1.791,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.996133
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 45.019836
Cumulative Processor Energy_0 (mWh) = 12.505510
Average Processor Power_0 (Watt) = 45.194604

Cumulative IA Energy_0 (Joules) = 26.059265
Cumulative IA Energy_0 (mWh) = 7.238685
Average IA Power_0 (Watt) = 26.160428

Cumulative DRAM Energy_0 (Joules) = 3.855286
Cumulative DRAM Energy_0 (mWh) = 1.070913
Average DRAM Power_0 (Watt) = 3.870252

Cumulative GT Energy_0 (Joules) = 6.446716
Cumulative GT Energy_0 (mWh) = 1.790755
Average GT Power_0 (Watt) = 6.471743
