System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:48:440, 157201098327885,    0.128,  103.000, 2900,  48.888,   6.270,   1.742,  29.413,   3.772,   1.048, 93,  0,   4.008,   0.514,   0.143,   6.882,   0.883,   0.245,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:48:564, 157201370385163,    0.251,   72.000, 2800,  46.121,  11.953,   3.320,  27.166,   7.120,   1.978, 92,  0,   3.641,   0.963,   0.267,   6.234,   1.651,   0.459,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:48:689, 157201647578005,    0.377,   88.000, 2800,  45.646,  17.683,   4.912,  27.153,  10.528,   2.925, 93,  0,   3.729,   1.431,   0.397,   6.204,   2.430,   0.675,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:48:812, 157201918459981,    0.500,   85.000, 2800,  45.554,  23.272,   6.464,  26.434,  13.771,   3.825, 91,  0,   4.020,   1.924,   0.534,   6.394,   3.214,   0.893,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:48:933, 157202186925477,    0.621,   87.000, 2800,  44.840,  28.724,   7.979,  25.541,  16.877,   4.688, 91,  0,   4.148,   2.428,   0.675,   6.770,   4.037,   1.121,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:49:088, 157202527826813,    0.776,   78.000, 2800,  43.990,  35.516,   9.865,  23.857,  20.560,   5.711, 90,  0,   4.085,   3.059,   0.850,   7.291,   5.163,   1.434,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:49:211, 157202799141501,    0.899,   89.000, 2800,  44.564,  40.992,  11.387,  24.850,  23.614,   6.559, 90,  0,   4.151,   3.569,   0.991,   6.962,   6.018,   1.672,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:49:333, 157203069974786,    1.021,   70.000, 2800,  44.616,  46.464,  12.907,  25.660,  26.761,   7.434, 89,  0,   4.026,   4.063,   1.129,   6.524,   6.819,   1.894,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:49:380, 157203173469797,    1.068,  101.000, 2800,  43.981,  48.526,  13.479,  23.858,  27.879,   7.744, 90,  0,   4.173,   4.259,   1.183,   7.334,   7.162,   1.990,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.068080
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 48.525574
Cumulative Processor Energy_0 (mWh) = 13.479326
Average Processor Power_0 (Watt) = 45.432509

Cumulative IA Energy_0 (Joules) = 27.879456
Cumulative IA Energy_0 (mWh) = 7.744293
Average IA Power_0 (Watt) = 26.102393

Cumulative DRAM Energy_0 (Joules) = 4.258545
Cumulative DRAM Energy_0 (mWh) = 1.182929
Average DRAM Power_0 (Watt) = 3.987101

Cumulative GT Energy_0 (Joules) = 7.162415
Cumulative GT Energy_0 (mWh) = 1.989560
Average GT Power_0 (Watt) = 6.705876
