System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:49:857, 157204227832081,    0.138,  100.000, 2800,  47.038,   6.508,   1.808,  27.118,   3.752,   1.042, 91,  0,   4.173,   0.577,   0.160,   6.979,   0.966,   0.268,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:50:009, 157204562609599,    0.290,   95.000, 2800,  44.761,  13.294,   3.693,  25.383,   7.600,   2.111, 89,  0,   4.120,   1.202,   0.334,   6.857,   2.005,   0.557,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:50:118, 157204803279756,    0.399,   68.000, 2800,  42.825,  17.962,   4.990,  23.055,  10.113,   2.809, 89,  0,   3.920,   1.629,   0.453,   7.135,   2.783,   0.773,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:50:243, 157205080469739,    0.525,   74.000, 2900,  44.482,  23.547,   6.541,  24.463,  13.184,   3.662, 89,  0,   4.088,   2.142,   0.595,   7.180,   3.684,   1.023,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:50:351, 157205319116392,    0.633,   64.000, 2900,  43.978,  28.300,   7.861,  24.258,  15.806,   4.391, 89,  0,   3.769,   2.550,   0.708,   7.186,   4.461,   1.239,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:50:459, 157205555400739,    0.740,   61.000, 2900,  43.227,  32.926,   9.146,  23.187,  18.288,   5.080, 89,  0,   3.898,   2.967,   0.824,   7.419,   5.255,   1.460,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:50:583, 157205828820224,    0.863,   66.000, 3000,  44.184,  38.397,  10.666,  24.083,  21.270,   5.908, 89,  0,   3.943,   3.455,   0.960,   7.406,   6.172,   1.714,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:50:706, 157206101439432,    0.987,   59.000, 3000,  44.047,  43.835,  12.177,  24.092,  24.244,   6.735, 90,  0,   3.885,   3.935,   1.093,   7.469,   7.094,   1.971,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:50:715, 157206120808079,    0.996,   50.000, 3000,  44.573,  44.226,  12.285,  22.975,  24.446,   6.791, 89,  0,   4.015,   3.970,   1.103,   7.647,   7.161,   1.989,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.995674
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 44.226440
Cumulative Processor Energy_0 (mWh) = 12.285122
Average Processor Power_0 (Watt) = 44.418581

Cumulative IA Energy_0 (Joules) = 24.445923
Cumulative IA Energy_0 (mWh) = 6.790534
Average IA Power_0 (Watt) = 24.552127

Cumulative DRAM Energy_0 (Joules) = 3.970032
Cumulative DRAM Energy_0 (mWh) = 1.102787
Average DRAM Power_0 (Watt) = 3.987279

Cumulative GT Energy_0 (Joules) = 7.161316
Cumulative GT Energy_0 (mWh) = 1.989254
Average GT Power_0 (Watt) = 7.192428
