System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:50:999, 157206748637719,    0.112,   72.000, 2900,  47.387,   5.331,   1.481,  27.604,   3.105,   0.863, 91,  0,   3.938,   0.443,   0.123,   7.323,   0.824,   0.229,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:51:137, 157207052126435,    0.250,   99.000, 2900,  47.407,  11.847,   3.291,  27.338,   6.863,   1.906, 94,  0,   4.173,   1.017,   0.282,   7.187,   1.812,   0.503,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:51:262, 157207328865132,    0.375,   72.000, 2800,  44.054,  17.369,   4.825,  24.657,   9.953,   2.765, 90,  0,   3.841,   1.498,   0.416,   6.863,   2.672,   0.742,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:51:386, 157207602524158,    0.499,   53.000, 2900,  42.486,  22.634,   6.287,  23.219,  12.831,   3.564, 89,  0,   3.721,   1.959,   0.544,   6.788,   3.513,   0.976,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:51:507, 157207870876354,    0.621,   65.000, 3000,  44.384,  28.028,   7.786,  24.501,  15.809,   4.391, 90,  0,   3.992,   2.444,   0.679,   7.067,   4.372,   1.214,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:51:633, 157208147844638,    0.746,   65.000, 3000,  45.339,  33.716,   9.365,  25.669,  19.029,   5.286, 91,  0,   3.902,   2.934,   0.815,   7.207,   5.276,   1.466,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:51:756, 157208419113334,    0.869,   61.000, 3000,  45.385,  39.292,  10.914,  24.882,  22.086,   6.135, 90,  0,   4.033,   3.429,   0.953,   7.779,   6.232,   1.731,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:51:879, 157208690181148,    0.992,   54.000, 3000,  43.600,  44.644,  12.401,  23.126,  24.925,   6.924, 90,  0,   4.039,   3.925,   1.090,   7.670,   7.173,   1.993,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:51:912, 157208765179158,    1.026,  108.000, 3000,  42.382,  46.084,  12.801,  22.438,  25.687,   7.135, 89,  0,   3.899,   4.058,   1.127,   7.452,   7.427,   2.063,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.025783
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 46.083679
Cumulative Processor Energy_0 (mWh) = 12.801022
Average Processor Power_0 (Watt) = 44.925362

Cumulative IA Energy_0 (Joules) = 25.686829
Cumulative IA Energy_0 (mWh) = 7.135230
Average IA Power_0 (Watt) = 25.041188

Cumulative DRAM Energy_0 (Joules) = 4.057556
Cumulative DRAM Energy_0 (mWh) = 1.127099
Average DRAM Power_0 (Watt) = 3.955569

Cumulative GT Energy_0 (Joules) = 7.426514
Cumulative GT Energy_0 (mWh) = 2.062920
Average GT Power_0 (Watt) = 7.239848
