System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:21:43:794, 157058358816527,    0.105,   61.000, 3200,  50.734,   5.312,   1.475,  30.861,   3.231,   0.897, 94,  0,   3.854,   0.404,   0.112,   7.147,   0.748,   0.208,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:43:902, 157058597499969,    0.213,   55.000, 3100,  48.329,  10.536,   2.927,  28.614,   6.324,   1.757, 91,  0,   3.845,   0.819,   0.228,   7.189,   1.525,   0.424,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:44:011, 157058838289876,    0.322,   55.000, 3100,  46.709,  15.630,   4.342,  26.964,   9.265,   2.573, 91,  0,   3.808,   1.234,   0.343,   7.187,   2.309,   0.641,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:44:121, 157059080671306,    0.432,   59.000, 3000,  47.538,  20.848,   5.791,  27.897,  12.327,   3.424, 92,  0,   3.904,   1.663,   0.462,   6.926,   3.069,   0.853,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:44:261, 157059390302763,    0.572,   63.000, 2900,  46.174,  27.323,   7.590,  27.110,  16.129,   4.480, 92,  0,   3.734,   2.186,   0.607,   6.609,   3.996,   1.110,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:44:385, 157059663973906,    0.696,   61.000, 2900,  44.770,  32.872,   9.131,  25.294,  19.264,   5.351, 92,  0,   3.803,   2.658,   0.738,   6.890,   4.850,   1.347,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:44:525, 157059972962707,    0.836,   76.000, 2900,  45.440,  39.231,  10.898,  26.353,  22.952,   6.375, 91,  0,   3.898,   3.203,   0.890,   6.514,   5.762,   1.601,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:44:635, 157060215422647,    0.946,   66.000, 2900,  45.426,  44.219,  12.283,  26.172,  25.826,   7.174, 90,  0,   3.786,   3.619,   1.005,   6.640,   6.491,   1.803,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:44:743, 157060454624282,    1.054,   70.000, 2900,  45.282,  49.125,  13.646,  26.296,  28.674,   7.965, 92,  0,   3.738,   4.024,   1.118,   6.601,   7.206,   2.002,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:44:867, 157060728244007,    1.178,   66.000, 2900,  43.812,  54.554,  15.154,  24.593,  31.722,   8.812, 89,  0,   3.774,   4.492,   1.248,   6.665,   8.032,   2.231,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:44:974, 157060965233866,    1.285,   56.000, 2900,  43.216,  59.193,  16.442,  24.325,  34.333,   9.537, 90,  0,   3.623,   4.881,   1.356,   6.541,   8.734,   2.426,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:45:097, 157061236125698,    1.408,   52.000, 3000,  42.875,  64.453,  17.904,  23.536,  37.220,  10.339, 90,  0,   3.647,   5.328,   1.480,   6.738,   9.561,   2.656,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:45:103, 157061250742583,    1.414,   92.000, 3000,  47.335,  64.766,  17.991,  24.636,  37.383,  10.384, 90,  0,   4.564,   5.358,   1.488,   7.477,   9.610,   2.670,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.414438
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 64.766052
Cumulative Processor Energy_0 (mWh) = 17.990570
Average Processor Power_0 (Watt) = 45.789261

Cumulative IA Energy_0 (Joules) = 37.383240
Cumulative IA Energy_0 (mWh) = 10.384233
Average IA Power_0 (Watt) = 26.429755

Cumulative DRAM Energy_0 (Joules) = 5.358276
Cumulative DRAM Energy_0 (mWh) = 1.488410
Average DRAM Power_0 (Watt) = 3.788273

Cumulative GT Energy_0 (Joules) = 9.610352
Cumulative GT Energy_0 (mWh) = 2.669542
Average GT Power_0 (Watt) = 6.794468
