System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:21:58:921, 157091759999671,    0.117,   54.000, 3100,  45.205,   5.289,   1.469,  25.623,   2.998,   0.833, 90,  0,   3.820,   0.447,   0.124,   6.981,   0.817,   0.227,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:59:047, 157092038136122,    0.243,   63.000, 3000,  46.933,  11.201,   3.111,  27.381,   6.447,   1.791, 90,  0,   3.921,   0.941,   0.261,   6.936,   1.690,   0.470,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:59:172, 157092313961692,    0.368,   59.000, 3000,  45.342,  16.865,   4.685,  25.697,   9.657,   2.683, 91,  0,   3.842,   1.421,   0.395,   7.028,   2.568,   0.713,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:59:296, 157092587657013,    0.492,   48.000, 3000,  43.521,  22.260,   6.183,  24.288,  12.668,   3.519, 88,  0,   3.597,   1.867,   0.519,   6.749,   3.405,   0.946,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:59:422, 157092866012795,    0.618,   58.000, 3000,  45.491,  27.995,   7.776,  25.838,  15.925,   4.424, 91,  0,   3.868,   2.354,   0.654,   7.103,   4.300,   1.195,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:59:547, 157093141974649,    0.743,   53.000, 3000,  44.905,  33.607,   9.335,  25.816,  19.152,   5.320, 89,  0,   3.654,   2.811,   0.781,   6.615,   5.127,   1.424,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:59:702, 157093483837583,    0.898,   60.000, 3000,  45.021,  40.578,  11.272,  25.591,  23.114,   6.420, 90,  0,   3.756,   3.393,   0.942,   6.836,   6.186,   1.718,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:59:826, 157093757499054,    1.022,   78.000, 2900,  47.362,  46.448,  12.902,  28.023,  26.587,   7.385, 94,  0,   3.839,   3.868,   1.075,   6.756,   7.023,   1.951,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:59:933, 157093994187322,    1.129,   50.000, 3000,  42.476,  51.001,  14.167,  23.296,  29.084,   8.079, 89,  0,   3.668,   4.262,   1.184,   6.745,   7.746,   2.152,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:00:056, 157094265672772,    1.252,   63.000, 2900,  46.564,  56.726,  15.757,  27.231,  32.432,   9.009, 95,  0,   3.911,   4.742,   1.317,   6.713,   8.571,   2.381,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:00:177, 157094534902104,    1.374,   76.000, 2800,  48.103,  62.591,  17.387,  28.817,  35.946,   9.985, 94,  0,   4.062,   5.238,   1.455,   6.617,   9.378,   2.605,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:00:219, 157094627946531,    1.416,  106.000, 2800,  44.489,  64.466,  17.907,  25.454,  37.019,  10.283, 96,  0,   3.754,   5.396,   1.499,   6.535,   9.654,   2.682,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.415882
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 64.466187
Cumulative Processor Energy_0 (mWh) = 17.907274
Average Processor Power_0 (Watt) = 45.530751

Cumulative IA Energy_0 (Joules) = 37.018738
Cumulative IA Energy_0 (mWh) = 10.282983
Average IA Power_0 (Watt) = 26.145349

Cumulative DRAM Energy_0 (Joules) = 5.395874
Cumulative DRAM Energy_0 (mWh) = 1.498854
Average DRAM Power_0 (Watt) = 3.810962

Cumulative GT Energy_0 (Joules) = 9.653564
Cumulative GT Energy_0 (mWh) = 2.681546
Average GT Power_0 (Watt) = 6.818056
