System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:21:49:230, 157070362462339,    0.134,   63.000, 3100,  48.346,   6.488,   1.802,  29.393,   3.944,   1.096, 94,  0,   3.629,   0.487,   0.135,   6.541,   0.878,   0.244,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:49:356, 157070640202991,    0.260,   58.000, 3000,  45.556,  12.218,   3.394,  26.448,   7.271,   2.020, 93,  0,   3.640,   0.945,   0.262,   6.538,   1.700,   0.472,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:49:480, 157070913199979,    0.384,   59.000, 3000,  47.171,  18.050,   5.014,  27.763,  10.704,   2.973, 93,  0,   3.691,   1.401,   0.389,   6.795,   2.540,   0.706,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:49:618, 157071218597220,    0.522,   60.000, 2900,  44.403,  24.192,   6.720,  25.171,  14.185,   3.940, 89,  0,   3.697,   1.913,   0.531,   6.804,   3.481,   0.967,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:49:727, 157071458690126,    0.631,   48.000, 3000,  43.740,  28.948,   8.041,  24.223,  16.819,   4.672, 89,  0,   3.684,   2.313,   0.643,   6.909,   4.233,   1.176,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:49:853, 157071736324952,    0.756,   58.000, 3000,  45.475,  34.666,   9.629,  26.018,  20.090,   5.581, 92,  0,   3.743,   2.784,   0.773,   6.835,   5.092,   1.414,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:49:978, 157072014690997,    0.882,   71.000, 2900,  46.859,  40.574,  11.270,  27.597,  23.570,   6.547, 93,  0,   3.875,   3.272,   0.909,   6.726,   5.940,   1.650,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:50:114, 157072313839298,    1.018,   74.000, 2900,  45.582,  46.749,  12.986,  27.005,  27.228,   7.563, 94,  0,   3.704,   3.774,   1.048,   6.252,   6.787,   1.885,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:50:239, 157072590085036,    1.143,   81.000, 2800,  46.045,  52.510,  14.586,  26.901,  30.594,   8.498, 92,  0,   3.910,   4.263,   1.184,   6.567,   7.609,   2.114,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:50:362, 157072860567600,    1.266,   64.000, 2800,  43.612,  57.852,  16.070,  24.243,  33.564,   9.323, 91,  0,   3.831,   4.733,   1.315,   6.647,   8.423,   2.340,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:50:485, 157073133345777,    1.389,   65.000, 2900,  44.391,  63.337,  17.593,  25.054,  36.659,  10.183, 91,  0,   3.941,   5.219,   1.450,   6.892,   9.274,   2.576,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:50:516, 157073201821275,    1.420,   61.000, 2900,  41.139,  64.612,  17.948,  21.419,  37.323,  10.368, 90,  0,   3.840,   5.339,   1.483,   7.174,   9.497,   2.638,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.420129
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 64.612366
Cumulative Processor Energy_0 (mWh) = 17.947879
Average Processor Power_0 (Watt) = 45.497544

Cumulative IA Energy_0 (Joules) = 37.323303
Cumulative IA Energy_0 (mWh) = 10.367584
Average IA Power_0 (Watt) = 26.281635

Cumulative DRAM Energy_0 (Joules) = 5.338562
Cumulative DRAM Energy_0 (mWh) = 1.482934
Average DRAM Power_0 (Watt) = 3.759210

Cumulative GT Energy_0 (Joules) = 9.496826
Cumulative GT Energy_0 (mWh) = 2.638007
Average GT Power_0 (Watt) = 6.687300
