System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:21:50:868, 157073978701933,    0.115,   58.000, 3000,  45.134,   5.200,   1.444,  25.938,   2.988,   0.830, 89,  0,   3.750,   0.432,   0.120,   6.745,   0.777,   0.216,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:50:992, 157074253069101,    0.239,   56.000, 3000,  45.203,  10.817,   3.005,  25.588,   6.168,   1.713, 89,  0,   3.870,   0.913,   0.254,   7.096,   1.659,   0.461,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:51:117, 157074527932459,    0.364,   59.000, 2900,  44.458,  16.351,   4.542,  24.765,   9.251,   2.570, 90,  0,   3.786,   1.384,   0.384,   6.974,   2.527,   0.702,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:51:225, 157074765594275,    0.472,   59.000, 3000,  45.716,  21.272,   5.909,  25.809,  12.029,   3.341, 90,  0,   3.918,   1.806,   0.502,   7.132,   3.295,   0.915,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:51:349, 157075040907633,    0.596,   65.000, 2900,  44.273,  26.792,   7.442,  24.847,  15.127,   4.202, 90,  0,   3.884,   2.290,   0.636,   7.071,   4.176,   1.160,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:51:457, 157075278642439,    0.704,   50.000, 3000,  43.462,  31.471,   8.742,  23.924,  17.703,   4.917, 89,  0,   3.710,   2.690,   0.747,   6.869,   4.916,   1.366,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:51:564, 157075515151815,    0.811,   73.000, 2900,  47.591,  36.569,  10.158,  28.499,  20.755,   5.765, 91,  0,   3.838,   3.101,   0.861,   6.597,   5.623,   1.562,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:51:689, 157075791721809,    0.936,   58.000, 3000,  42.956,  41.950,  11.653,  23.837,  23.741,   6.595, 90,  0,   3.765,   3.572,   0.992,   6.689,   6.460,   1.795,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:51:813, 157076064998417,    1.060,   53.000, 3000,  45.110,  47.533,  13.204,  25.330,  26.876,   7.466, 90,  0,   3.887,   4.053,   1.126,   7.090,   7.338,   2.038,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:51:936, 157076336830339,    1.183,   77.000, 2900,  45.830,  53.175,  14.771,  26.285,  30.112,   8.364, 91,  0,   4.071,   4.555,   1.265,   6.926,   8.191,   2.275,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:52:061, 157076611076154,    1.307,   65.000, 2900,  45.153,  58.783,  16.329,  25.813,  33.318,   9.255, 90,  0,   3.892,   5.038,   1.399,   6.801,   9.035,   2.510,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:52:183, 157076882309185,    1.430,   54.000, 3000,  41.593,  63.893,  17.748,  21.739,  35.989,   9.997, 88,  0,   3.752,   5.499,   1.527,   7.183,   9.918,   2.755,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:52:187, 157076890763221,    1.434,   27.000, 3000,  41.351,  64.051,  17.792,  19.209,  36.062,  10.017, 88,  0,   3.985,   5.514,   1.532,   9.055,   9.952,   2.765,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.434068
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 64.050842
Cumulative Processor Energy_0 (mWh) = 17.791901
Average Processor Power_0 (Watt) = 44.663755

Cumulative IA Energy_0 (Joules) = 36.062134
Cumulative IA Energy_0 (mWh) = 10.017259
Average IA Power_0 (Watt) = 25.146747

Cumulative DRAM Energy_0 (Joules) = 5.514160
Cumulative DRAM Energy_0 (mWh) = 1.531711
Average DRAM Power_0 (Watt) = 3.845119

Cumulative GT Energy_0 (Joules) = 9.952332
Cumulative GT Energy_0 (mWh) = 2.764537
Average GT Power_0 (Watt) = 6.939932
