System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:21:52:462, 157077496392272,    0.107,   58.000, 3000,  45.741,   4.911,   1.364,  26.824,   2.880,   0.800, 91,  0,   3.627,   0.389,   0.108,   6.609,   0.710,   0.197,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:52:583, 157077765096110,    0.229,   65.000, 2900,  47.100,  10.643,   2.956,  27.337,   6.207,   1.724, 92,  0,   4.139,   0.893,   0.248,   6.955,   1.556,   0.432,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:52:719, 157078065675409,    0.365,   64.000, 3000,  43.628,  16.582,   4.606,  24.330,   9.519,   2.644, 89,  0,   3.775,   1.407,   0.391,   6.779,   2.479,   0.689,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:52:843, 157078337900386,    0.488,   59.000, 3000,  44.763,  22.101,   6.139,  25.332,  12.642,   3.512, 90,  0,   3.838,   1.880,   0.522,   7.002,   3.342,   0.928,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:52:949, 157078573837996,    0.595,   52.000, 3000,  44.567,  26.863,   7.462,  24.922,  15.305,   4.251, 91,  0,   3.805,   2.287,   0.635,   6.979,   4.088,   1.136,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:53:072, 157078844120044,    0.718,   71.000, 2900,  47.583,  32.688,   9.080,  28.148,  18.751,   5.209, 94,  0,   3.895,   2.764,   0.768,   6.673,   4.905,   1.362,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:53:210, 157079150523834,    0.857,   56.000, 3000,  42.754,  38.621,  10.728,  23.709,  22.041,   6.123, 91,  0,   3.671,   3.273,   0.909,   6.812,   5.850,   1.625,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:53:333, 157079421009603,    0.979,   53.000, 3000,  44.459,  44.067,  12.241,  24.638,  25.059,   6.961, 89,  0,   3.778,   3.736,   1.038,   7.037,   6.712,   1.864,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:53:457, 157079694963276,    1.103,   52.000, 3000,  43.932,  49.518,  13.755,  24.374,  28.083,   7.801, 89,  0,   3.782,   4.205,   1.168,   7.073,   7.590,   2.108,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:53:579, 157079964839135,    1.225,   63.000, 3000,  46.426,  55.193,  15.331,  27.155,  31.402,   8.723, 90,  0,   4.027,   4.697,   1.305,   6.701,   8.409,   2.336,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:53:701, 157080234289590,    1.347,   53.000, 3000,  44.541,  60.628,  16.841,  24.895,  34.440,   9.567, 88,  0,   3.777,   5.158,   1.433,   7.072,   9.272,   2.575,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:53:710, 157080253816727,    1.356,   37.000, 3000,  41.402,  60.994,  16.943,  20.346,  34.620,   9.617, 88,  0,   3.961,   5.193,   1.443,   7.592,   9.339,   2.594,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.356202
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 60.994080
Cumulative Processor Energy_0 (mWh) = 16.942800
Average Processor Power_0 (Watt) = 44.974176

Cumulative IA Energy_0 (Joules) = 34.620361
Cumulative IA Energy_0 (mWh) = 9.616767
Average IA Power_0 (Watt) = 25.527432

Cumulative DRAM Energy_0 (Joules) = 5.193298
Cumulative DRAM Energy_0 (mWh) = 1.442583
Average DRAM Power_0 (Watt) = 3.829295

Cumulative GT Energy_0 (Joules) = 9.338806
Cumulative GT Energy_0 (mWh) = 2.594113
Average GT Power_0 (Watt) = 6.885998
