System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:21:54:009, 157080914053966,    0.106,   50.000, 3100,  45.104,   4.766,   1.324,  26.119,   2.760,   0.767, 89,  0,   3.366,   0.356,   0.099,   6.558,   0.693,   0.192,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:54:117, 157081152405337,    0.214,   55.000, 3000,  45.077,   9.632,   2.676,  25.828,   5.548,   1.541, 90,  0,   3.776,   0.763,   0.212,   6.671,   1.413,   0.393,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:54:227, 157081394601046,    0.323,   54.000, 3000,  44.706,  14.536,   4.038,  24.924,   8.282,   2.301, 91,  0,   3.821,   1.182,   0.328,   7.089,   2.191,   0.609,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:54:350, 157081667368145,    0.447,   51.000, 3100,  44.769,  20.066,   5.574,  25.507,  11.433,   3.176, 91,  0,   3.721,   1.642,   0.456,   6.983,   3.053,   0.848,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:54:474, 157081941127395,    0.571,   55.000, 3000,  46.297,  25.806,   7.168,  26.886,  14.766,   4.102, 91,  0,   3.754,   2.108,   0.585,   6.802,   3.897,   1.082,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:54:632, 157082289035335,    0.728,   36.000, 2900,  46.639,  33.155,   9.210,  26.963,  19.015,   5.282, 92,  0,   3.844,   2.713,   0.754,   6.976,   4.996,   1.388,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:54:895, 157082870385395,    0.992,  148.000, 2900,  45.251,  45.069,  12.519,  26.046,  25.872,   7.187, 90,  0,   3.814,   3.717,   1.033,   6.694,   6.758,   1.877,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:55:003, 157083108672009,    1.100,   54.000, 2900,  42.697,  49.677,  13.799,  23.053,  28.360,   7.878, 89,  0,   3.789,   4.126,   1.146,   7.066,   7.521,   2.089,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:55:127, 157083381797009,    1.223,   45.000, 3000,  42.580,  54.944,  15.262,  23.263,  31.238,   8.677, 89,  0,   3.531,   4.563,   1.268,   6.773,   8.359,   2.322,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:55:250, 157083653746966,    1.346,   47.000, 3100,  44.204,  60.389,  16.775,  24.908,  34.305,   9.529, 93,  0,   3.681,   5.016,   1.393,   6.802,   9.197,   2.555,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:55:266, 157083690166191,    1.363,   34.000, 3100,  36.479,  60.990,  16.942,  19.264,  34.623,   9.618, 93,  0,   2.809,   5.063,   1.406,   6.324,   9.301,   2.584,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.362958
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 60.990479
Cumulative Processor Energy_0 (mWh) = 16.941800
Average Processor Power_0 (Watt) = 44.748623

Cumulative IA Energy_0 (Joules) = 34.623230
Cumulative IA Energy_0 (mWh) = 9.617564
Average IA Power_0 (Watt) = 25.403012

Cumulative DRAM Energy_0 (Joules) = 5.062805
Cumulative DRAM Energy_0 (mWh) = 1.406335
Average DRAM Power_0 (Watt) = 3.714573

Cumulative GT Energy_0 (Joules) = 9.300842
Cumulative GT Energy_0 (mWh) = 2.583567
Average GT Power_0 (Watt) = 6.824014
