System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:21:55:593, 157084412024575,    0.112,   52.000, 3200,  47.899,   5.374,   1.493,  28.970,   3.250,   0.903, 94,  0,   3.576,   0.401,   0.111,   6.601,   0.741,   0.206,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:55:703, 157084654431698,    0.222,   74.000, 3000,  50.252,  10.891,   3.025,  30.876,   6.640,   1.844, 93,  0,   4.033,   0.844,   0.234,   6.600,   1.465,   0.407,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:55:827, 157084927420026,    0.346,   63.000, 2900,  46.529,  16.643,   4.623,  26.735,   9.945,   2.763, 92,  0,   3.948,   1.332,   0.370,   7.028,   2.334,   0.648,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:55:967, 157085238172338,    0.486,   68.000, 2900,  44.635,  22.925,   6.368,  24.977,  13.460,   3.739, 89,  0,   3.864,   1.876,   0.521,   6.987,   3.317,   0.921,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:56:074, 157085472282602,    0.592,   65.000, 2900,  44.698,  27.664,   7.685,  25.173,  16.129,   4.480, 90,  0,   3.909,   2.290,   0.636,   6.917,   4.051,   1.125,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:56:182, 157085711900091,    0.701,   54.000, 3000,  44.152,  32.456,   9.016,  24.744,  18.815,   5.226, 90,  0,   3.767,   2.699,   0.750,   7.036,   4.814,   1.337,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:56:290, 157085950978814,    0.809,   49.000, 3000,  43.445,  37.160,  10.322,  24.265,  21.442,   5.956, 89,  0,   3.596,   3.089,   0.858,   6.841,   5.555,   1.543,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:56:414, 157086224019211,    0.933,   50.000, 3000,  43.827,  42.580,  11.828,  23.932,  24.402,   6.778, 89,  0,   3.798,   3.558,   0.988,   7.174,   6.442,   1.789,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:56:524, 157086465336870,    1.042,   51.000, 3000,  45.114,  47.510,  13.197,  25.768,  27.218,   7.561, 90,  0,   3.898,   3.984,   1.107,   6.898,   7.196,   1.999,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:56:723, 157086905062259,    1.241,  107.000, 2900,  46.914,  56.853,  15.793,  27.653,  32.725,   9.090, 90,  0,   3.998,   4.781,   1.328,   6.636,   8.518,   2.366,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:56:832, 157087147298746,    1.351,   63.000, 2900,  43.979,  61.678,  17.133,  24.145,  35.374,   9.826, 89,  0,   3.993,   5.219,   1.450,   7.137,   9.301,   2.584,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:56:956, 157087420844059,    1.475,   58.000, 3000,  43.116,  67.020,  18.617,  23.355,  38.267,  10.630, 89,  0,   3.834,   5.694,   1.582,   7.080,  10.178,   2.827,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:56:957, 157087424000419,    1.476,   36.000, 3000,  50.126,  67.091,  18.636,  20.622,  38.297,  10.638, 88,  0,   4.013,   5.699,   1.583,   5.508,  10.186,   2.829,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.476303
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 67.091187
Cumulative Processor Energy_0 (mWh) = 18.636441
Average Processor Power_0 (Watt) = 45.445394

Cumulative IA Energy_0 (Joules) = 38.296692
Cumulative IA Energy_0 (mWh) = 10.637970
Average IA Power_0 (Watt) = 25.940937

Cumulative DRAM Energy_0 (Joules) = 5.699341
Cumulative DRAM Energy_0 (mWh) = 1.583150
Average DRAM Power_0 (Watt) = 3.860549

Cumulative GT Energy_0 (Joules) = 10.185608
Cumulative GT Energy_0 (mWh) = 2.829336
Average GT Power_0 (Watt) = 6.899401
