System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:21:57:263, 157088097199548,    0.111,   62.000, 2900,  45.903,   5.076,   1.410,  26.924,   2.977,   0.827, 90,  0,   3.674,   0.406,   0.113,   6.677,   0.738,   0.205,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:57:371, 157088337350635,    0.219,   64.000, 2900,  44.624,   9.930,   2.758,  24.761,   5.670,   1.575, 90,  0,   3.991,   0.840,   0.233,   7.148,   1.516,   0.421,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:57:496, 157088613711247,    0.345,   55.000, 3000,  43.762,  15.407,   4.280,  24.274,   8.709,   2.419, 90,  0,   3.727,   1.307,   0.363,   6.970,   2.388,   0.663,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:57:605, 157088852530307,    0.453,   53.000, 3000,  44.640,  20.235,   5.621,  25.308,  11.446,   3.179, 90,  0,   3.778,   1.716,   0.477,   6.859,   3.130,   0.869,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:57:729, 157089128119062,    0.577,   54.000, 3000,  44.809,  25.828,   7.174,  25.121,  14.581,   4.050, 90,  0,   3.798,   2.190,   0.608,   7.103,   4.017,   1.116,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:57:852, 157089398772607,    0.700,   55.000, 3000,  44.491,  31.282,   8.689,  24.717,  17.611,   4.892, 90,  0,   3.821,   2.658,   0.738,   7.044,   4.880,   1.356,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:57:960, 157089636718911,    0.808,   52.000, 3000,  44.234,  36.049,  10.014,  24.813,  20.285,   5.635, 90,  0,   3.777,   3.065,   0.851,   6.798,   5.613,   1.559,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:58:070, 157089880882041,    0.918,   62.000, 3000,  45.627,  41.094,  11.415,  26.040,  23.164,   6.435, 91,  0,   3.943,   3.501,   0.972,   7.196,   6.408,   1.780,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:58:180, 157090124221978,    1.029,   56.000, 3000,  45.939,  46.157,  12.821,  26.609,  26.097,   7.249, 94,  0,   3.860,   3.926,   1.091,   6.877,   7.166,   1.991,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:58:335, 157090465161316,    1.183,   74.000, 3000,  45.334,  53.157,  14.766,  26.063,  30.121,   8.367, 90,  0,   3.718,   4.500,   1.250,   6.558,   8.179,   2.272,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:58:460, 157090741750648,    1.308,   53.000, 3000,  44.172,  58.690,  16.303,  24.858,  33.235,   9.232, 90,  0,   3.747,   4.970,   1.381,   6.861,   9.038,   2.511,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:58:568, 157090978943059,    1.416,   49.000, 3000,  43.395,  63.352,  17.598,  23.663,  35.777,   9.938, 88,  0,   3.881,   5.387,   1.496,   6.916,   9.781,   2.717,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:58:584, 157091014837973,    1.432,   86.000, 3100,  36.467,  63.945,  17.762,  19.846,  36.100,  10.028, 87,  0,   2.673,   5.430,   1.508,   5.313,   9.868,   2.741,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.431973
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 63.944702
Cumulative Processor Energy_0 (mWh) = 17.762417
Average Processor Power_0 (Watt) = 44.654968

Cumulative IA Energy_0 (Joules) = 36.099792
Cumulative IA Energy_0 (mWh) = 10.027720
Average IA Power_0 (Watt) = 25.209830

Cumulative DRAM Energy_0 (Joules) = 5.430237
Cumulative DRAM Energy_0 (mWh) = 1.508399
Average DRAM Power_0 (Watt) = 3.792137

Cumulative GT Energy_0 (Joules) = 9.867798
Cumulative GT Energy_0 (mWh) = 2.741055
Average GT Power_0 (Watt) = 6.891051
