System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:23:13:302, 157255993147547,    0.113,   73.000, 2900,  43.879,   4.949,   1.375,  25.043,   2.825,   0.785, 90,  0,   3.878,   0.437,   0.122,   6.239,   0.704,   0.195,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:23:13:409, 157256229698460,    0.220,   72.000, 2900,  44.607,   9.728,   2.702,  25.634,   5.571,   1.547, 90,  0,   3.916,   0.857,   0.238,   6.471,   1.397,   0.388,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:23:13:518, 157256471021779,    0.329,   88.000, 2800,  47.123,  14.878,   4.133,  28.043,   8.636,   2.399, 92,  0,   3.981,   1.292,   0.359,   6.196,   2.074,   0.576,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:23:13:641, 157256741630597,    0.452,   71.000, 2900,  43.122,  20.163,   5.601,  24.771,  11.672,   3.242, 90,  0,   3.536,   1.725,   0.479,   6.139,   2.827,   0.785,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:23:13:764, 157257012578422,    0.574,   66.000, 2900,  43.706,  25.526,   7.091,  24.399,  14.666,   4.074, 90,  0,   3.645,   2.173,   0.604,   6.724,   3.652,   1.014,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:23:13:886, 157257282152045,    0.697,   66.000, 2900,  43.708,  30.863,   8.573,  24.633,  17.673,   4.909, 89,  0,   3.695,   2.624,   0.729,   6.590,   4.456,   1.238,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:23:13:888, 157257287712187,    0.699,   22.000, 2900,  32.333,  30.944,   8.596,  20.481,  17.725,   4.924, 89,  0,   2.497,   2.630,   0.731,   4.848,   4.469,   1.241,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.699094
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 30.944153
Cumulative Processor Energy_0 (mWh) = 8.595598
Average Processor Power_0 (Watt) = 44.263248

Cumulative IA Energy_0 (Joules) = 17.724792
Cumulative IA Energy_0 (mWh) = 4.923553
Average IA Power_0 (Watt) = 25.353962

Cumulative DRAM Energy_0 (Joules) = 2.630249
Cumulative DRAM Energy_0 (mWh) = 0.730625
Average DRAM Power_0 (Watt) = 3.762370

Cumulative GT Energy_0 (Joules) = 4.468506
Cumulative GT Energy_0 (mWh) = 1.241252
Average GT Power_0 (Watt) = 6.391856
