System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:14:892, 157127023329807,    0.112,   44.000, 3500,  55.456,   6.204,   1.723,  36.452,   4.078,   1.133, 95,  0,   3.470,   0.388,   0.108,   6.526,   0.730,   0.203,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:15:000, 157127262157804,    0.220,   46.000, 3400,  51.626,  11.788,   3.274,  32.218,   7.563,   2.101, 95,  0,   3.733,   0.792,   0.220,   6.958,   1.483,   0.412,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:15:124, 157127537428498,    0.345,   74.000, 2800,  50.533,  18.088,   5.024,  30.995,  11.427,   3.174, 95,  0,   3.885,   1.276,   0.355,   6.804,   2.331,   0.647,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:15:248, 157127809041067,    0.468,   53.000, 3500,  49.421,  24.167,   6.713,  30.341,  15.159,   4.211, 93,  0,   3.590,   1.718,   0.477,   6.631,   3.147,   0.874,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:15:356, 157128047720901,    0.576,   39.000, 3200,  51.972,  29.785,   8.274,  32.603,  18.683,   5.190, 96,  0,   3.666,   2.114,   0.587,   6.876,   3.890,   1.081,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:15:495, 157128355106560,    0.715,   63.000, 3200,  48.408,  36.524,  10.146,  29.129,  22.739,   6.316, 93,  0,   3.709,   2.630,   0.731,   6.830,   4.841,   1.345,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:15:607, 157128601672811,    0.827,   44.000, 3100,  46.444,  41.711,  11.586,  27.036,  25.758,   7.155, 91,  0,   3.635,   3.036,   0.843,   6.774,   5.597,   1.555,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:15:730, 157128872820198,    0.949,   49.000, 3100,  45.407,  47.287,  13.135,  26.076,  28.960,   8.044, 91,  0,   3.664,   3.486,   0.968,   6.761,   6.427,   1.785,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:15:838, 157129112380637,    1.058,   68.000, 3000,  48.601,  52.560,  14.600,  29.512,  32.162,   8.934, 94,  0,   3.983,   3.918,   1.088,   6.689,   7.153,   1.987,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:15:961, 157129383459933,    1.181,   61.000, 2900,  47.619,  58.406,  16.224,  28.134,  35.616,   9.893, 91,  0,   4.001,   4.409,   1.225,   6.719,   7.978,   2.216,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:16:069, 157129621873775,    1.289,   94.000, 2900,  45.250,  63.292,  17.581,  25.618,  38.382,  10.662, 91,  0,   3.961,   4.837,   1.344,   7.000,   8.734,   2.426,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.288738
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 63.291809
Cumulative Processor Energy_0 (mWh) = 17.581058
Average Processor Power_0 (Watt) = 49.111461

Cumulative IA Energy_0 (Joules) = 38.381836
Cumulative IA Energy_0 (mWh) = 10.661621
Average IA Power_0 (Watt) = 29.782496

Cumulative DRAM Energy_0 (Joules) = 4.837219
Cumulative DRAM Energy_0 (mWh) = 1.343672
Average DRAM Power_0 (Watt) = 3.753454

Cumulative GT Energy_0 (Joules) = 8.733887
Cumulative GT Energy_0 (mWh) = 2.426080
Average GT Power_0 (Watt) = 6.777084
