System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:29:188, 157158589406234,    0.107,   53.000, 3000,  46.174,   4.963,   1.379,  27.219,   2.925,   0.813, 89,  0,   3.536,   0.380,   0.106,   6.727,   0.723,   0.201,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:29:312, 157158863005175,    0.231,   58.000, 3000,  45.722,  10.628,   2.952,  26.193,   6.171,   1.714, 90,  0,   3.802,   0.851,   0.236,   6.925,   1.581,   0.439,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:29:435, 157159134532997,    0.354,   54.000, 3000,  44.501,  16.101,   4.472,  25.193,   9.269,   2.575, 90,  0,   3.704,   1.307,   0.363,   6.806,   2.418,   0.672,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:29:543, 157159372425474,    0.462,   57.000, 3000,  45.877,  21.044,   5.845,  26.386,  12.112,   3.364, 90,  0,   3.718,   1.707,   0.474,   6.869,   3.158,   0.877,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:29:666, 157159644387922,    0.585,   56.000, 3000,  45.401,  26.636,   7.399,  26.572,  15.385,   4.274, 90,  0,   3.556,   2.145,   0.596,   6.461,   3.954,   1.098,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:29:789, 157159914781148,    0.708,   52.000, 3000,  44.223,  32.051,   8.903,  24.962,  18.442,   5.123, 90,  0,   3.693,   2.597,   0.722,   6.891,   4.798,   1.333,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:29:913, 157160190419669,    0.833,   57.000, 3000,  44.769,  37.640,  10.456,  25.527,  21.628,   6.008, 91,  0,   3.697,   3.059,   0.850,   6.721,   5.637,   1.566,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:30:020, 157160428153262,    0.940,   75.000, 2900,  47.637,  42.769,  11.880,  28.070,  24.651,   6.847, 94,  0,   3.985,   3.488,   0.969,   6.802,   6.369,   1.769,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:30:143, 157160698116244,    1.063,   52.000, 3000,  41.976,  47.901,  13.306,  22.799,  27.438,   7.622, 88,  0,   3.632,   3.932,   1.092,   6.751,   7.195,   1.998,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:30:252, 157160937830109,    1.171,   46.000, 3000,  43.473,  52.621,  14.617,  24.206,  30.066,   8.352, 90,  0,   3.536,   4.316,   1.199,   6.669,   7.919,   2.200,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:30:376, 157161212118479,    1.295,   50.000, 3100,  43.311,  58.001,  16.111,  23.926,  33.038,   9.177, 88,  0,   3.690,   4.774,   1.326,   6.958,   8.783,   2.440,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:30:378, 157161218293147,    1.298,   38.000, 3100,  44.743,  58.126,  16.146,  23.855,  33.105,   9.196, 88,  0,   3.230,   4.783,   1.329,   5.435,   8.798,   2.444,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.298094
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 58.126282
Cumulative Processor Energy_0 (mWh) = 16.146189
Average Processor Power_0 (Watt) = 44.778163

Cumulative IA Energy_0 (Joules) = 33.105103
Cumulative IA Energy_0 (mWh) = 9.195862
Average IA Power_0 (Watt) = 25.502847

Cumulative DRAM Energy_0 (Joules) = 4.783386
Cumulative DRAM Energy_0 (mWh) = 1.328718
Average DRAM Power_0 (Watt) = 3.684929

Cumulative GT Energy_0 (Joules) = 8.798096
Cumulative GT Energy_0 (mWh) = 2.443915
Average GT Power_0 (Watt) = 6.777701
