System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:16:392, 157130335577350,    0.103,   47.000, 3000,  44.721,   4.622,   1.284,  25.786,   2.665,   0.740, 90,  0,   3.467,   0.358,   0.100,   6.646,   0.687,   0.191,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:16:532, 157130645031545,    0.243,   59.000, 3000,  44.587,  10.871,   3.020,  25.288,   6.209,   1.725, 89,  0,   3.722,   0.880,   0.244,   6.870,   1.650,   0.458,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:16:654, 157130914390553,    0.365,   61.000, 3000,  45.358,  16.404,   4.557,  25.595,   9.332,   2.592, 90,  0,   3.942,   1.361,   0.378,   7.119,   2.518,   0.699,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:16:764, 157131156154390,    0.475,   47.000, 3000,  44.560,  21.283,   5.912,  25.001,  12.069,   3.352, 90,  0,   3.751,   1.772,   0.492,   6.806,   3.263,   0.906,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:16:919, 157131499559565,    0.631,  102.000, 2900,  47.293,  28.638,   7.955,  27.826,  16.397,   4.555, 89,  0,   4.086,   2.407,   0.669,   6.901,   4.337,   1.205,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:17:027, 157131737370025,    0.738,   47.000, 2900,  42.078,  33.170,   9.214,  22.709,  18.843,   5.234, 88,  0,   3.653,   2.800,   0.778,   6.800,   5.069,   1.408,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:17:167, 157132045630826,    0.878,   57.000, 3000,  43.444,  39.235,  10.899,  23.795,  22.165,   6.157, 90,  0,   3.770,   3.327,   0.924,   6.964,   6.041,   1.678,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:17:276, 157132287501229,    0.987,   55.000, 3000,  44.759,  44.138,  12.261,  25.503,  24.958,   6.933, 89,  0,   3.775,   3.740,   1.039,   6.928,   6.800,   1.889,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:17:383, 157132523653348,    1.094,   48.000, 3000,  43.783,  48.821,  13.561,  24.332,  27.561,   7.656, 89,  0,   3.707,   4.137,   1.149,   6.885,   7.536,   2.093,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:17:493, 157132767435249,    1.205,   48.000, 3000,  43.165,  53.587,  14.885,  23.743,  30.182,   8.384, 88,  0,   3.703,   4.546,   1.263,   7.032,   8.313,   2.309,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:17:601, 157133005595661,    1.313,   57.000, 3000,  45.108,  58.452,  16.237,  25.585,  32.942,   9.151, 89,  0,   3.848,   4.961,   1.378,   6.938,   9.061,   2.517,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:17:711, 157133247933078,    1.422,   47.000, 3100,  43.250,  63.199,  17.555,  23.667,  35.539,   9.872, 89,  0,   3.811,   5.379,   1.494,   6.895,   9.818,   2.727,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:17:711, 157133249131293,    1.423,   34.000, 3100,  71.982,  63.238,  17.566,  24.744,  35.553,   9.876, 89,  0,   3.712,   5.381,   1.495,   4.949,   9.821,   2.728,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.422886
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 63.238220
Cumulative Processor Energy_0 (mWh) = 17.566172
Average Processor Power_0 (Watt) = 44.443616

Cumulative IA Energy_0 (Joules) = 35.552856
Cumulative IA Energy_0 (mWh) = 9.875793
Average IA Power_0 (Watt) = 24.986432

Cumulative DRAM Energy_0 (Joules) = 5.380920
Cumulative DRAM Energy_0 (mWh) = 1.494700
Average DRAM Power_0 (Watt) = 3.781693

Cumulative GT Energy_0 (Joules) = 9.820557
Cumulative GT Energy_0 (mWh) = 2.727932
Average GT Power_0 (Watt) = 6.901855
