System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:19:470, 157137131418773,    0.105,   54.000, 3000,  47.557,   5.010,   1.392,  28.821,   3.036,   0.843, 91,  0,   3.452,   0.364,   0.101,   6.531,   0.688,   0.191,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:19:594, 157137406249120,    0.230,   56.000, 3000,  45.677,  10.695,   2.971,  26.692,   6.358,   1.766, 91,  0,   3.695,   0.824,   0.229,   6.648,   1.515,   0.421,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:19:733, 157137713086771,    0.369,   61.000, 3000,  45.332,  16.995,   4.721,  26.071,   9.981,   2.773, 89,  0,   3.799,   1.352,   0.375,   6.677,   2.443,   0.679,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:19:843, 157137955524994,    0.479,   58.000, 3000,  45.047,  21.941,   6.095,  25.296,  12.759,   3.544, 91,  0,   3.881,   1.778,   0.494,   7.097,   3.223,   0.895,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:19:967, 157138229036593,    0.602,   56.000, 3000,  44.691,  27.477,   7.632,  24.620,  15.809,   4.391, 88,  0,   3.892,   2.260,   0.628,   7.373,   4.136,   1.149,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:20:073, 157138464217136,    0.709,   87.000, 2900,  48.556,  32.649,   9.069,  28.238,  18.816,   5.227, 93,  0,   4.179,   2.705,   0.751,   7.391,   4.923,   1.368,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:20:213, 157138771163658,    0.848,   71.000, 2900,  44.786,  38.875,  10.798,  25.276,  22.330,   6.203, 92,  0,   3.953,   3.254,   0.904,   6.881,   5.880,   1.633,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:20:336, 157139043648353,    0.971,   55.000, 2900,  42.438,  44.112,  12.253,  23.025,  25.171,   6.992, 89,  0,   3.789,   3.722,   1.034,   7.009,   6.745,   1.874,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:20:446, 157139286567817,    1.081,   53.000, 3000,  43.472,  48.894,  13.582,  23.895,  27.800,   7.722, 90,  0,   3.776,   4.137,   1.149,   6.989,   7.513,   2.087,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:20:556, 157139528314128,    1.191,   55.000, 3000,  45.599,  53.887,  14.969,  26.609,  30.714,   8.532, 91,  0,   3.736,   4.547,   1.263,   6.683,   8.245,   2.290,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:20:680, 157139802957166,    1.315,   65.000, 3000,  45.883,  59.594,  16.554,  25.897,  33.935,   9.426, 92,  0,   3.963,   5.039,   1.400,   7.160,   9.136,   2.538,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:20:788, 157140041877093,    1.423,   57.000, 3000,  43.091,  64.257,  17.849,  23.682,  36.497,  10.138, 88,  0,   3.932,   5.465,   1.518,   6.874,   9.880,   2.744,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:20:806, 157140082198735,    1.442,   88.000, 3000,  40.789,  65.002,  18.056,  21.772,  36.895,  10.249, 88,  0,   3.603,   5.531,   1.536,   6.979,  10.007,   2.780,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.441737
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 65.001587
Cumulative Processor Energy_0 (mWh) = 18.055996
Average Processor Power_0 (Watt) = 45.085612

Cumulative IA Energy_0 (Joules) = 36.894836
Cumulative IA Energy_0 (mWh) = 10.248566
Average IA Power_0 (Watt) = 25.590549

Cumulative DRAM Energy_0 (Joules) = 5.530701
Cumulative DRAM Energy_0 (mWh) = 1.536306
Average DRAM Power_0 (Watt) = 3.836138

Cumulative GT Energy_0 (Joules) = 10.006958
Cumulative GT Energy_0 (mWh) = 2.779711
Average GT Power_0 (Watt) = 6.940905
