System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:22:925, 157144760561431,    0.110,   56.000, 3000,  46.601,   5.140,   1.428,  27.684,   3.054,   0.848, 90,  0,   3.590,   0.396,   0.110,   6.538,   0.721,   0.200,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:23:034, 157144999573723,    0.219,   51.000, 3000,  43.739,   9.875,   2.743,  24.347,   5.689,   1.580, 89,  0,   3.756,   0.802,   0.223,   6.981,   1.477,   0.410,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:23:142, 157145239779765,    0.327,   48.000, 3100,  45.614,  14.837,   4.121,  26.180,   8.537,   2.371, 92,  0,   3.646,   1.199,   0.333,   6.830,   2.220,   0.617,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:23:268, 157145518725880,    0.454,   53.000, 3000,  44.905,  20.510,   5.697,  25.180,  11.718,   3.255, 89,  0,   3.754,   1.673,   0.465,   6.995,   3.104,   0.862,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:23:376, 157145756986163,    0.562,   51.000, 3000,  43.861,  25.243,   7.012,  24.768,  14.391,   3.997, 89,  0,   3.682,   2.071,   0.575,   6.954,   3.854,   1.071,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:23:486, 157145998558254,    0.671,   49.000, 3100,  45.931,  30.268,   8.408,  26.514,  17.292,   4.803, 90,  0,   3.690,   2.474,   0.687,   6.665,   4.583,   1.273,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:23:594, 157146238038619,    0.779,   63.000, 3000,  46.143,  35.273,   9.798,  26.842,  20.203,   5.612, 93,  0,   3.813,   2.888,   0.802,   6.962,   5.338,   1.483,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:23:720, 157146515974697,    0.905,   73.000, 2900,  45.821,  41.041,  11.400,  26.684,  23.562,   6.545, 90,  0,   3.760,   3.361,   0.934,   6.526,   6.160,   1.711,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:23:827, 157146752073766,    1.012,   47.000, 3000,  43.598,  45.703,  12.695,  24.041,  26.133,   7.259, 89,  0,   3.656,   3.752,   1.042,   7.052,   6.914,   1.921,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:23:936, 157146992481052,    1.121,   52.000, 3000,  44.303,  50.526,  14.035,  24.886,  28.842,   8.012, 89,  0,   3.739,   4.159,   1.155,   6.833,   7.658,   2.127,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:24:046, 157147235359408,    1.231,   48.000, 3000,  43.669,  55.330,  15.369,  24.392,  31.525,   8.757, 88,  0,   3.657,   4.562,   1.267,   6.802,   8.406,   2.335,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:24:169, 157147507556901,    1.354,   34.000, 3200,  39.365,  60.183,  16.717,  20.765,  34.085,   9.468, 86,  0,   2.959,   4.926,   1.368,   6.444,   9.201,   2.556,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:24:169, 157147509264527,    1.355,   37.000, 3200,  51.693,  60.223,  16.728,  24.386,  34.104,   9.473, 86,  0,   3.472,   4.929,   1.369,   5.603,   9.205,   2.557,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.355181
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 60.222595
Cumulative Processor Energy_0 (mWh) = 16.728499
Average Processor Power_0 (Watt) = 44.438785

Cumulative IA Energy_0 (Joules) = 34.104004
Cumulative IA Energy_0 (mWh) = 9.473334
Average IA Power_0 (Watt) = 25.165646

Cumulative DRAM Energy_0 (Joules) = 4.929016
Cumulative DRAM Energy_0 (mWh) = 1.369171
Average DRAM Power_0 (Watt) = 3.637165

Cumulative GT Energy_0 (Joules) = 9.204834
Cumulative GT Energy_0 (mWh) = 2.556898
Average GT Power_0 (Watt) = 6.792328
