System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:24:428, 157148079215770,    0.111,   45.000, 3100,  47.066,   5.231,   1.453,  28.376,   3.154,   0.876, 90,  0,   3.366,   0.374,   0.104,   6.389,   0.710,   0.197,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:24:553, 157148355448121,    0.236,   61.000, 3000,  47.725,  11.202,   3.112,  28.652,   6.738,   1.872, 91,  0,   3.701,   0.837,   0.233,   6.604,   1.536,   0.427,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:24:693, 157148664371089,    0.376,   59.000, 3000,  45.428,  17.558,   4.877,  26.180,  10.401,   2.889, 90,  0,   3.736,   1.360,   0.378,   6.699,   2.474,   0.687,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:24:817, 157148937803747,    0.500,   50.000, 3000,  43.783,  22.980,   6.383,  24.193,  13.397,   3.721, 90,  0,   3.704,   1.819,   0.505,   6.997,   3.340,   0.928,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:24:926, 157149178202473,    0.609,   43.000, 3100,  43.749,  27.743,   7.706,  24.518,  16.067,   4.463, 90,  0,   3.547,   2.205,   0.612,   6.757,   4.076,   1.132,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:25:049, 157149451720798,    0.733,   60.000, 3000,  46.982,  33.563,   9.323,  27.806,  19.511,   5.420, 95,  0,   3.695,   2.663,   0.740,   6.636,   4.898,   1.361,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:25:188, 157149756905260,    0.871,   68.000, 3000,  45.756,  39.887,  11.080,  26.686,  23.200,   6.444, 89,  0,   3.827,   3.191,   0.887,   6.567,   5.806,   1.613,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:25:296, 157149995953735,    0.979,   51.000, 3000,  44.638,  44.720,  12.422,  25.214,  25.929,   7.203, 89,  0,   3.786,   3.601,   1.000,   6.958,   6.559,   1.822,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:25:421, 157150271777724,    1.104,   46.000, 3000,  42.410,  50.017,  13.894,  23.306,  28.841,   8.011, 88,  0,   3.481,   4.036,   1.121,   6.646,   7.389,   2.053,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:25:530, 157150512253549,    1.213,   49.000, 3100,  45.266,  54.947,  15.263,  26.048,  31.678,   8.799, 91,  0,   3.631,   4.432,   1.231,   6.771,   8.127,   2.257,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:25:654, 157150786628035,    1.337,   54.000, 3000,  45.871,  60.648,  16.847,  26.602,  34.983,   9.718, 96,  0,   3.680,   4.889,   1.358,   6.786,   8.970,   2.492,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:25:671, 157150824168261,    1.354,   34.000, 3000,  41.571,  61.354,  17.043,  22.509,  35.366,   9.824, 89,  0,   3.809,   4.954,   1.376,   6.638,   9.083,   2.523,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.354329
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 61.354309
Cumulative Processor Energy_0 (mWh) = 17.042864
Average Processor Power_0 (Watt) = 45.302382

Cumulative IA Energy_0 (Joules) = 35.366028
Cumulative IA Energy_0 (mWh) = 9.823897
Average IA Power_0 (Watt) = 26.113330

Cumulative DRAM Energy_0 (Joules) = 4.953796
Cumulative DRAM Energy_0 (mWh) = 1.376055
Average DRAM Power_0 (Watt) = 3.657751

Cumulative GT Energy_0 (Joules) = 9.082642
Cumulative GT Energy_0 (mWh) = 2.522956
Average GT Power_0 (Watt) = 6.706380
