System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:22:27:711, 157155328239165,    0.108,   60.000, 3000,  45.256,   4.886,   1.357,  26.449,   2.855,   0.793, 91,  0,   3.592,   0.388,   0.108,   6.357,   0.686,   0.191,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:27:820, 157155568576305,    0.217,   61.000, 3000,  45.943,   9.886,   2.746,  26.468,   5.736,   1.593, 90,  0,   3.835,   0.805,   0.224,   6.813,   1.428,   0.397,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:27:928, 157155807140715,    0.325,   49.000, 3000,  44.399,  14.683,   4.079,  25.281,   8.468,   2.352, 89,  0,   3.665,   1.201,   0.334,   6.653,   2.147,   0.596,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:28:052, 157156080955439,    0.449,   51.000, 3000,  43.654,  20.097,   5.583,  24.137,  11.461,   3.184, 88,  0,   3.715,   1.662,   0.462,   7.011,   3.016,   0.838,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:28:163, 157156324671111,    0.559,   50.000, 3100,  43.976,  24.951,   6.931,  24.243,  14.137,   3.927, 90,  0,   3.729,   2.073,   0.576,   6.977,   3.786,   1.052,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:28:287, 157156599145221,    0.684,   55.000, 3000,  46.077,  30.679,   8.522,  26.981,  17.491,   4.859, 90,  0,   3.744,   2.539,   0.705,   6.660,   4.614,   1.282,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:28:409, 157156868581228,    0.806,   54.000, 3000,  44.326,  36.088,  10.024,  24.966,  20.538,   5.705, 89,  0,   3.763,   2.998,   0.833,   6.845,   5.449,   1.514,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:28:519, 157157112957737,    0.916,   46.000, 3100,  44.609,  41.025,  11.396,  25.338,  23.342,   6.484, 91,  0,   3.623,   3.399,   0.944,   6.679,   6.189,   1.719,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:28:704, 157157520366108,    1.101,   79.000, 3000,  46.262,  49.561,  13.767,  27.227,  28.366,   7.879, 90,  0,   3.827,   4.105,   1.140,   6.613,   7.409,   2.058,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:28:829, 157157796046118,    1.226,   61.000, 3000,  45.902,  55.292,  15.359,  26.372,  31.658,   8.794, 90,  0,   3.938,   4.597,   1.277,   6.877,   8.267,   2.297,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:28:938, 157158036361622,    1.334,   51.000, 3000,  42.539,  59.922,  16.645,  23.064,  34.169,   9.491, 88,  0,   3.689,   4.998,   1.388,   6.870,   9.015,   2.504,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:22:28:940, 157158042275435,    1.337,   24.000, 3000,  30.172,  60.003,  16.667,  22.264,  34.228,   9.508, 89,  0,   2.302,   5.005,   1.390,   5.697,   9.030,   2.508,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.337134
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 60.002930
Cumulative Processor Energy_0 (mWh) = 16.667480
Average Processor Power_0 (Watt) = 44.874277

Cumulative IA Energy_0 (Joules) = 34.228149
Cumulative IA Energy_0 (mWh) = 9.507819
Average IA Power_0 (Watt) = 25.598141

Cumulative DRAM Energy_0 (Joules) = 5.004517
Cumulative DRAM Energy_0 (mWh) = 1.390144
Average DRAM Power_0 (Watt) = 3.742718

Cumulative GT Energy_0 (Joules) = 9.030396
Cumulative GT Energy_0 (mWh) = 2.508443
Average GT Power_0 (Watt) = 6.753545
