System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:21:18:648, 157002836499774,    0.125,   75.000, 2900,  44.391,   5.560,   1.545,  24.451,   3.063,   0.851, 92,  0,   4.045,   0.507,   0.141,   7.352,   0.921,   0.256,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:18:769, 157003104267387,    0.247,   88.000, 2800,  45.863,  11.122,   3.089,  26.206,   6.241,   1.734, 90,  0,   4.112,   1.005,   0.279,   7.018,   1.772,   0.492,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:18:894, 157003378313709,    0.371,   70.000, 2900,  43.513,  16.523,   4.590,  23.958,   9.214,   2.560, 90,  0,   3.978,   1.499,   0.416,   6.971,   2.637,   0.733,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:19:017, 157003650211182,    0.494,   65.000, 2900,  43.157,  21.837,   6.066,  23.358,  12.091,   3.358, 89,  0,   3.869,   1.976,   0.549,   7.215,   3.526,   0.979,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:19:140, 157003921926319,    0.617,   58.000, 3000,  43.671,  27.211,   7.559,  22.902,  14.909,   4.141, 90,  0,   4.045,   2.473,   0.687,   7.768,   4.482,   1.245,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:19:280, 157004232475761,    0.757,   92.000, 2900,  46.821,  33.796,   9.388,  26.783,  18.676,   5.188, 91,  0,   4.224,   3.067,   0.852,   7.450,   5.529,   1.536,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:19:419, 157004537852185,    0.896,   88.000, 2900,  45.726,  40.120,  11.145,  25.781,  22.241,   6.178, 92,  0,   4.206,   3.649,   1.014,   7.334,   6.544,   1.818,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:19:542, 157004811329159,    1.020,   89.000, 2800,  45.930,  45.809,  12.725,  25.963,  25.457,   7.071, 91,  0,   4.253,   4.176,   1.160,   7.121,   7.426,   2.063,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:19:694, 157005145698748,    1.171,   98.000, 2800,  45.260,  52.663,  14.629,  25.212,  29.275,   8.132, 90,  0,   4.137,   4.802,   1.334,   7.159,   8.510,   2.364,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:19:698, 157005155514527,    1.176,   36.000, 2800,  38.388,  52.834,  14.676,  21.349,  29.370,   8.158, 90,  0,   3.583,   4.818,   1.338,   8.348,   8.547,   2.374,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.175530
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 52.833801
Cumulative Processor Energy_0 (mWh) = 14.676056
Average Processor Power_0 (Watt) = 44.944647

Cumulative IA Energy_0 (Joules) = 29.369812
Cumulative IA Energy_0 (mWh) = 8.158281
Average IA Power_0 (Watt) = 24.984306

Cumulative DRAM Energy_0 (Joules) = 4.818237
Cumulative DRAM Energy_0 (mWh) = 1.338399
Average DRAM Power_0 (Watt) = 4.098777

Cumulative GT Energy_0 (Joules) = 8.546875
Cumulative GT Energy_0 (mWh) = 2.374132
Average GT Power_0 (Watt) = 7.270654
