System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:21:22:187, 157010649428959,    0.105,   56.000, 2900,  43.677,   4.578,   1.272,  24.252,   2.542,   0.706, 90,  0,   3.803,   0.399,   0.111,   7.208,   0.755,   0.210,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:22:342, 157010992471189,    0.260,  109.000, 2800,  47.239,  11.917,   3.310,  27.428,   6.803,   1.890, 92,  0,   4.211,   1.053,   0.292,   6.895,   1.827,   0.507,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:22:480, 157011297832238,    0.398,   71.000, 2900,  44.129,  18.020,   5.005,  24.565,  10.200,   2.833, 92,  0,   3.979,   1.603,   0.445,   7.001,   2.795,   0.776,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:22:624, 157011615114291,    0.542,   88.000, 2800,  46.117,  24.647,   6.846,  26.284,  13.977,   3.883, 92,  0,   4.194,   2.206,   0.613,   7.019,   3.804,   1.057,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:22:829, 157012068686105,    0.748,  111.000, 2800,  45.821,  34.059,   9.461,  26.247,  19.369,   5.380, 92,  0,   4.181,   3.064,   0.851,   6.923,   5.226,   1.452,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:22:953, 157012340887709,    0.871,   62.000, 2800,  43.953,  39.478,  10.966,  24.405,  22.378,   6.216, 90,  0,   3.928,   3.549,   0.986,   6.992,   6.088,   1.691,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:23:092, 157012647488336,    1.010,   81.000, 2800,  43.567,  45.527,  12.647,  23.611,  25.656,   7.127, 90,  0,   3.979,   4.101,   1.139,   7.264,   7.096,   1.971,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:23:215, 157012920542631,    1.133,   77.000, 2900,  43.238,  50.875,  14.132,  23.286,  28.536,   7.927, 91,  0,   3.939,   4.588,   1.274,   7.218,   7.989,   2.219,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:23:337, 157013189059273,    1.255,   58.000, 2900,  42.147,  56.000,  15.556,  22.071,  31.220,   8.672, 89,  0,   3.967,   5.071,   1.409,   7.290,   8.875,   2.465,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:23:343, 157013203656547,    1.262,   30.000, 3000,  37.372,  56.247,  15.624,  20.246,  31.354,   8.709, 88,  0,   3.582,   5.094,   1.415,   7.820,   8.927,   2.480,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.261610
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 56.247131
Cumulative Processor Energy_0 (mWh) = 15.624203
Average Processor Power_0 (Watt) = 44.583617

Cumulative IA Energy_0 (Joules) = 31.353638
Cumulative IA Energy_0 (mWh) = 8.709344
Average IA Power_0 (Watt) = 24.852087

Cumulative DRAM Energy_0 (Joules) = 5.094299
Cumulative DRAM Energy_0 (mWh) = 1.415083
Average DRAM Power_0 (Watt) = 4.037936

Cumulative GT Energy_0 (Joules) = 8.927124
Cumulative GT Energy_0 (mWh) = 2.479757
Average GT Power_0 (Watt) = 7.075978
