System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:20:18:307, 156869603363588,    0.116,   52.000, 3400,  53.116,   6.145,   1.707,  33.842,   3.915,   1.088, 95,  0,   3.594,   0.416,   0.116,   6.645,   0.769,   0.214,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:18:418, 156869847378543,    0.226,   42.000, 3400,  51.096,  11.792,   3.276,  32.058,   7.458,   2.072, 94,  0,   3.605,   0.814,   0.226,   6.840,   1.525,   0.424,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:18:540, 156870117873573,    0.349,   58.000, 3300,  51.153,  18.058,   5.016,  31.442,  11.310,   3.142, 95,  0,   3.861,   1.287,   0.358,   6.886,   2.368,   0.658,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:18:649, 156870358575502,    0.458,   46.000, 3300,  50.379,  23.550,   6.542,  30.892,  14.678,   4.077, 95,  0,   3.659,   1.686,   0.468,   6.985,   3.130,   0.869,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:18:774, 156870632902183,    0.582,   45.000, 3500,  52.216,  30.038,   8.344,  32.906,  18.766,   5.213, 95,  0,   3.669,   2.142,   0.595,   6.942,   3.992,   1.109,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:18:898, 156870906826596,    0.706,   48.000, 3300,  49.926,  36.232,  10.064,  30.510,  22.551,   6.264, 95,  0,   3.712,   2.602,   0.723,   6.902,   4.848,   1.347,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:19:023, 156871182644397,    0.831,   43.000, 3500,  52.598,  42.802,  11.889,  33.229,  26.702,   7.417, 95,  0,   3.608,   3.053,   0.848,   6.832,   5.702,   1.584,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:19:148, 156871458937277,    0.956,   45.000, 3400,  51.821,  49.286,  13.691,  32.574,  30.778,   8.549, 94,  0,   3.606,   3.504,   0.973,   6.814,   6.554,   1.821,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:19:277, 156871743602570,    1.085,   76.000, 2900,  50.231,  55.762,  15.490,  30.717,  34.738,   9.649, 95,  0,   3.863,   4.002,   1.112,   6.896,   7.443,   2.068,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:19:438, 156872099432039,    1.246,   77.000, 3100,  49.627,  63.760,  17.711,  30.649,  39.677,  11.021, 94,  0,   3.851,   4.623,   1.284,   6.484,   8.488,   2.358,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:19:578, 156872408369555,    1.386,   66.000, 3400,  51.786,  71.006,  19.724,  32.367,  44.206,  12.279, 94,  0,   3.876,   5.165,   1.435,   6.789,   9.438,   2.622,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:19:751, 156872791349899,    1.560,   53.000, 2200,  44.855,  78.786,  21.885,  25.681,  48.660,  13.517, 87,  0,   3.301,   5.738,   1.594,   6.619,  10.586,   2.941,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:19:752, 156872793101251,    1.560,   14.000, 2200,   0.000,  78.786,  21.885,   8.849,  48.667,  13.519, 87,  0,   0.000,   5.738,   1.594,   4.848,  10.590,   2.942,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.560313
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 78.785950
Cumulative Processor Energy_0 (mWh) = 21.884986
Average Processor Power_0 (Watt) = 50.493676

Cumulative IA Energy_0 (Joules) = 48.667297
Cumulative IA Energy_0 (mWh) = 13.518694
Average IA Power_0 (Watt) = 31.190723

Cumulative DRAM Energy_0 (Joules) = 5.737976
Cumulative DRAM Energy_0 (mWh) = 1.593882
Average DRAM Power_0 (Watt) = 3.677451

Cumulative GT Energy_0 (Joules) = 10.590210
Cumulative GT Energy_0 (mWh) = 2.941725
Average GT Power_0 (Watt) = 6.787233
