System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:20:34:040, 156904340630997,    0.133,   51.000, 3200,  49.404,   6.587,   1.830,  30.592,   4.079,   1.133, 91,  0,   3.502,   0.467,   0.130,   6.508,   0.868,   0.241,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:34:148, 156904578567904,    0.241,   53.000, 3100,  48.196,  11.781,   3.272,  28.694,   7.171,   1.992, 90,  0,   3.759,   0.872,   0.242,   6.885,   1.610,   0.447,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:34:257, 156904819419433,    0.350,   50.000, 3100,  46.543,  16.857,   4.683,  27.165,  10.134,   2.815, 93,  0,   3.667,   1.272,   0.353,   6.894,   2.362,   0.656,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:34:379, 156905089218367,    0.472,   48.000, 3300,  47.240,  22.630,   6.286,  28.274,  13.589,   3.775, 95,  0,   3.584,   1.710,   0.475,   6.658,   3.175,   0.882,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:34:518, 156905395642191,    0.611,   57.000, 3300,  51.811,  29.820,   8.283,  32.273,  18.068,   5.019, 94,  0,   3.730,   2.228,   0.619,   6.900,   4.133,   1.148,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:34:640, 156905667165611,    0.734,   53.000, 2800,  41.914,  34.974,   9.715,  22.476,  20.831,   5.787, 91,  0,   3.596,   2.670,   0.742,   6.950,   4.987,   1.385,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:34:777, 156905969377409,    0.871,   35.000, 2900,  43.310,  40.902,  11.362,  24.652,  24.206,   6.724, 89,  0,   3.575,   3.159,   0.878,   6.215,   5.838,   1.622,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:35:073, 156906623237438,    1.167,  132.000, 2900,  44.067,  53.952,  14.987,  24.890,  31.576,   8.771, 88,  0,   3.778,   4.278,   1.188,   6.643,   7.805,   2.168,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:35:183, 156906864694977,    1.276,   46.000, 3000,  42.318,  58.580,  16.272,  23.154,  34.108,   9.475, 88,  0,   3.608,   4.672,   1.298,   6.814,   8.550,   2.375,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:35:292, 156907106294395,    1.386,   50.000, 3000,  45.894,  63.601,  17.667,  26.448,  37.002,  10.278, 90,  0,   3.775,   5.086,   1.413,   6.729,   9.287,   2.580,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:35:448, 156907449307797,    1.541,   54.000, 3000,  42.915,  70.268,  19.519,  23.552,  40.661,  11.295, 88,  0,   3.631,   5.650,   1.569,   6.926,  10.363,   2.879,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:35:455, 156907466286433,    1.549,   30.000, 3100,  43.505,  70.603,  19.612,  22.995,  40.838,  11.344, 88,  0,   3.659,   5.678,   1.577,   6.548,  10.413,   2.893,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.548929
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 70.602661
Cumulative Processor Energy_0 (mWh) = 19.611850
Average Processor Power_0 (Watt) = 45.581612

Cumulative IA Energy_0 (Joules) = 40.837952
Cumulative IA Energy_0 (mWh) = 11.343875
Average IA Power_0 (Watt) = 26.365290

Cumulative DRAM Energy_0 (Joules) = 5.677795
Cumulative DRAM Energy_0 (mWh) = 1.577165
Average DRAM Power_0 (Watt) = 3.665628

Cumulative GT Energy_0 (Joules) = 10.413025
Cumulative GT Energy_0 (mWh) = 2.892507
Average GT Power_0 (Watt) = 6.722728
