System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:20:23:458, 156880974930958,    0.116,   49.000, 3200,  48.500,   5.611,   1.559,  29.388,   3.400,   0.944, 91,  0,   3.494,   0.404,   0.112,   6.603,   0.764,   0.212,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:23:565, 156881212704736,    0.223,   53.000, 3100,  47.528,  10.729,   2.980,  27.887,   6.403,   1.779, 89,  0,   3.790,   0.812,   0.226,   6.928,   1.510,   0.419,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:23:674, 156881454059795,    0.333,   53.000, 3100,  46.537,  15.816,   4.393,  27.182,   9.374,   2.604, 92,  0,   3.787,   1.226,   0.341,   6.940,   2.269,   0.630,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:23:798, 156881725757925,    0.456,   47.000, 3100,  43.766,  21.201,   5.889,  24.433,  12.381,   3.439, 89,  0,   3.614,   1.671,   0.464,   6.870,   3.114,   0.865,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:23:921, 156881997629523,    0.579,   44.000, 3100,  44.596,  26.692,   7.415,  25.522,  15.523,   4.312, 89,  0,   3.574,   2.111,   0.586,   6.657,   3.934,   1.093,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:24:045, 156882271128976,    0.703,   51.000, 3100,  45.139,  32.284,   8.968,  25.726,  18.710,   5.197, 91,  0,   3.669,   2.566,   0.713,   6.883,   4.786,   1.329,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:24:154, 156882512051342,    0.812,   44.000, 3100,  44.200,  37.106,  10.307,  25.160,  21.455,   5.960, 88,  0,   3.498,   2.947,   0.819,   6.660,   5.513,   1.531,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:24:262, 156882750486821,    0.920,   50.000, 3100,  46.079,  42.082,  11.690,  27.104,  24.382,   6.773, 90,  0,   3.517,   3.327,   0.924,   6.542,   6.219,   1.728,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:24:369, 156882989950446,    1.028,   71.000, 2900,  49.426,  47.443,  13.179,  29.794,  27.613,   7.670, 95,  0,   4.010,   3.762,   1.045,   6.769,   6.953,   1.932,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:24:523, 156883327880042,    1.181,   40.000, 2900,  45.431,  54.396,  15.110,  26.324,  31.642,   8.789, 90,  0,   3.729,   4.333,   1.204,   6.605,   7.964,   2.212,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:24:848, 156884044120935,    1.506,  138.000, 2800,  45.211,  69.062,  19.184,  25.980,  40.069,  11.130, 90,  0,   3.793,   5.563,   1.545,   6.730,  10.147,   2.819,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:24:987, 156884353063719,    1.646,   42.000, 3000,  40.324,  74.704,  20.751,  21.498,  43.077,  11.966, 90,  0,   3.350,   6.032,   1.675,   6.426,  11.047,   3.068,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:25:015, 156884416196621,    1.674,  182.000, 3000,  37.706,  75.782,  21.051,  19.925,  43.647,  12.124, 93,  0,   2.299,   6.097,   1.694,   5.448,  11.202,   3.112,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.674225
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 75.781860
Cumulative Processor Energy_0 (mWh) = 21.050517
Average Processor Power_0 (Watt) = 45.263852

Cumulative IA Energy_0 (Joules) = 43.647034
Cumulative IA Energy_0 (mWh) = 12.124176
Average IA Power_0 (Watt) = 26.069997

Cumulative DRAM Energy_0 (Joules) = 6.097412
Cumulative DRAM Energy_0 (mWh) = 1.693726
Average DRAM Power_0 (Watt) = 3.641932

Cumulative GT Energy_0 (Joules) = 11.202271
Cumulative GT Energy_0 (mWh) = 3.111742
Average GT Power_0 (Watt) = 6.691020
