System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:20:58:892, 156959215351802,    0.132,   86.000, 3000,  50.073,   6.601,   1.834,  31.070,   4.096,   1.138, 96,  0,   3.771,   0.497,   0.138,   6.466,   0.852,   0.237,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:59:014, 156959484347544,    0.254,   51.000, 3000,  43.283,  11.874,   3.298,  24.231,   7.048,   1.958, 90,  0,   3.600,   0.936,   0.260,   6.490,   1.643,   0.456,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:59:124, 156959725804177,    0.363,   46.000, 3000,  43.075,  16.585,   4.607,  23.843,   9.656,   2.682, 90,  0,   3.631,   1.333,   0.370,   6.863,   2.394,   0.665,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:59:235, 156959971122109,    0.474,   49.000, 3100,  44.613,  21.542,   5.984,  25.509,  12.490,   3.469, 92,  0,   3.591,   1.732,   0.481,   6.725,   3.141,   0.872,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:59:360, 156960248472981,    0.600,   54.000, 3000,  46.015,  27.322,   7.589,  26.407,  15.807,   4.391, 89,  0,   3.767,   2.205,   0.613,   6.912,   4.009,   1.114,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:59:483, 156960520236630,    0.723,   53.000, 3000,  45.562,  32.929,   9.147,  26.325,  19.047,   5.291, 95,  0,   3.651,   2.654,   0.737,   6.783,   4.844,   1.346,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:59:623, 156960829713143,    0.863,   61.000, 3000,  45.413,  39.295,  10.915,  26.140,  22.711,   6.308, 91,  0,   3.718,   3.175,   0.882,   6.791,   5.796,   1.610,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:59:749, 156961106165620,    0.988,   47.000, 3000,  42.894,  44.665,  12.407,  23.562,  25.661,   7.128, 90,  0,   3.638,   3.631,   1.009,   6.951,   6.666,   1.852,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:59:873, 156961381282275,    1.113,   47.000, 3100,  43.885,  50.133,  13.926,  24.169,  28.672,   7.964, 88,  0,   3.742,   4.097,   1.138,   7.041,   7.543,   2.095,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:59:996, 156961652615003,    1.236,   45.000, 3100,  45.207,  55.688,  15.469,  25.683,  31.828,   8.841, 89,  0,   3.696,   4.551,   1.264,   6.957,   8.398,   2.333,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:00:120, 156961924925340,    1.359,   53.000, 3000,  45.471,  61.296,  17.027,  26.399,  35.084,   9.746, 90,  0,   3.783,   5.018,   1.394,   6.668,   9.221,   2.561,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:00:259, 156962233691530,    1.499,   58.000, 3000,  45.462,  67.654,  18.793,  25.989,  38.718,  10.755, 89,  0,   3.830,   5.554,   1.543,   6.855,  10.179,   2.828,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:21:00:275, 156962267989127,    1.514,   55.000, 3000,  42.684,  68.317,  18.977,  21.533,  39.053,  10.848, 89,  0,   4.012,   5.616,   1.560,   7.277,  10.292,   2.859,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.514367
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 68.316711
Cumulative Processor Energy_0 (mWh) = 18.976864
Average Processor Power_0 (Watt) = 45.112389

Cumulative IA Energy_0 (Joules) = 39.052612
Cumulative IA Energy_0 (mWh) = 10.847948
Average IA Power_0 (Watt) = 25.788078

Cumulative DRAM Energy_0 (Joules) = 5.615906
Cumulative DRAM Energy_0 (mWh) = 1.559974
Average DRAM Power_0 (Watt) = 3.708418

Cumulative GT Energy_0 (Joules) = 10.292297
Cumulative GT Energy_0 (mWh) = 2.858971
Average GT Power_0 (Watt) = 6.796436
