System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:19:59:714, 156828549468956,    0.101,   46.000, 3300,  48.759,   4.927,   1.369,  29.542,   2.985,   0.829, 90,  0,   3.511,   0.355,   0.099,   6.487,   0.656,   0.182,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:59:822, 156828787196462,    0.209,   55.000, 3200,  48.954,  10.198,   2.833,  29.914,   6.206,   1.724, 93,  0,   3.778,   0.762,   0.212,   6.773,   1.385,   0.385,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:59:943, 156829053639393,    0.329,   79.000, 3000,  50.022,  16.234,   4.510,  30.884,   9.933,   2.759, 94,  0,   3.929,   1.236,   0.343,   6.407,   2.158,   0.599,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:00:050, 156829290630363,    0.437,   61.000, 3000,  45.561,  21.125,   5.868,  26.806,  12.810,   3.558, 91,  0,   3.757,   1.639,   0.455,   6.414,   2.846,   0.791,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:00:157, 156829526398074,    0.544,   52.000, 3000,  44.050,  25.828,   7.174,  24.951,  15.474,   4.298, 90,  0,   3.607,   2.024,   0.562,   6.490,   3.539,   0.983,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:00:266, 156829768674015,    0.653,   52.000, 3000,  43.913,  30.647,   8.513,  24.440,  18.156,   5.043, 89,  0,   3.739,   2.434,   0.676,   6.875,   4.294,   1.193,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:00:373, 156830003825614,    0.760,   28.000, 3000,  33.654,  34.231,   9.509,  15.233,  19.778,   5.494, 85,  0,   2.831,   2.736,   0.760,   6.286,   4.963,   1.379,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:00:374, 156830005615433,    0.761,   10.000, 3300,  30.269,  34.255,   9.515,  14.156,  19.790,   5.497, 85,  0,   2.033,   2.737,   0.760,   5.346,   4.967,   1.380,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.760542
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 34.255249
Cumulative Processor Energy_0 (mWh) = 9.515347
Average Processor Power_0 (Watt) = 45.040564

Cumulative IA Energy_0 (Joules) = 19.789856
Cumulative IA Energy_0 (mWh) = 5.497182
Average IA Power_0 (Watt) = 26.020721

Cumulative DRAM Energy_0 (Joules) = 2.737488
Cumulative DRAM Energy_0 (mWh) = 0.760413
Average DRAM Power_0 (Watt) = 3.599390

Cumulative GT Energy_0 (Joules) = 4.967468
Cumulative GT Energy_0 (mWh) = 1.379852
Average GT Power_0 (Watt) = 6.531483
