System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:20:02:479, 156834653713507,    0.110,   46.000, 3300,  50.058,   5.510,   1.530,  31.154,   3.429,   0.952, 93,  0,   3.484,   0.383,   0.107,   6.497,   0.715,   0.199,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:02:588, 156834893950727,    0.219,   52.000, 3100,  48.847,  10.824,   3.007,  29.455,   6.634,   1.843, 92,  0,   3.762,   0.793,   0.220,   6.784,   1.453,   0.404,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:02:697, 156835134736441,    0.328,   63.000, 3000,  51.192,  16.407,   4.557,  31.642,  10.084,   2.801, 92,  0,   3.836,   1.211,   0.336,   6.986,   2.215,   0.615,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:02:803, 156835369323739,    0.434,   53.000, 2900,  44.417,  21.126,   5.868,  25.327,  12.775,   3.549, 90,  0,   3.902,   1.626,   0.452,   6.601,   2.916,   0.810,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:02:943, 156835677666565,    0.574,   66.000, 3000,  44.817,  27.384,   7.607,  25.552,  16.343,   4.540, 90,  0,   3.829,   2.160,   0.600,   6.626,   3.842,   1.067,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:03:065, 156835948727550,    0.697,   30.000, 2200,  36.832,  31.906,   8.863,  17.877,  18.538,   5.149, 86,  0,   3.104,   2.541,   0.706,   6.535,   4.644,   1.290,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:20:03:072, 156835965113749,    0.704,  132.000, 2200,  27.979,  32.113,   8.920,  10.379,  18.615,   5.171, 87,  0,   3.331,   2.566,   0.713,   7.065,   4.696,   1.305,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.703991
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 32.113464
Cumulative Processor Energy_0 (mWh) = 8.920407
Average Processor Power_0 (Watt) = 45.616286

Cumulative IA Energy_0 (Joules) = 18.615051
Cumulative IA Energy_0 (mWh) = 5.170848
Average IA Power_0 (Watt) = 26.442165

Cumulative DRAM Energy_0 (Joules) = 2.566101
Cumulative DRAM Energy_0 (mWh) = 0.712806
Average DRAM Power_0 (Watt) = 3.645075

Cumulative GT Energy_0 (Joules) = 4.696350
Cumulative GT Energy_0 (mWh) = 1.304542
Average GT Power_0 (Watt) = 6.671035
