System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:18:57:852, 156691957879815,    0.103,   44.000, 3600,  54.369,   5.623,   1.562,  35.590,   3.681,   1.022, 94,  0,   3.486,   0.360,   0.100,   6.583,   0.681,   0.189,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:57:960, 156692195937294,    0.211,   42.000, 3500,  54.963,  11.548,   3.208,  35.462,   7.504,   2.084, 95,  0,   3.665,   0.756,   0.210,   7.011,   1.437,   0.399,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:58:084, 156692469038297,    0.335,   54.000, 3000,  56.171,  18.496,   5.138,  36.575,  12.028,   3.341, 97,  0,   3.831,   1.229,   0.342,   6.842,   2.283,   0.634,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:58:221, 156692772391924,    0.472,   69.000, 3300,  50.354,  25.414,   7.059,  31.580,  16.366,   4.546, 96,  0,   3.631,   1.728,   0.480,   6.463,   3.171,   0.881,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:58:329, 156693010148156,    0.580,   41.000, 3400,  54.220,  31.252,   8.681,  34.833,  20.117,   5.588, 94,  0,   3.569,   2.113,   0.587,   6.771,   3.900,   1.083,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:58:452, 156693281268458,    0.703,   47.000, 3600,  55.065,  38.014,  10.559,  35.536,  24.481,   6.800, 95,  0,   3.809,   2.580,   0.717,   6.920,   4.750,   1.319,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:58:559, 156693517758273,    0.810,   46.000, 3300,  52.669,  43.655,  12.126,  33.029,  28.018,   7.783, 96,  0,   3.704,   2.977,   0.827,   7.073,   5.507,   1.530,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:58:667, 156693756582428,    0.918,   45.000, 3300,  51.852,  49.263,  13.684,  32.596,  31.544,   8.762, 95,  0,   3.694,   3.377,   0.938,   6.836,   6.247,   1.735,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:58:792, 156694032383278,    1.043,   51.000, 3100,  54.265,  56.042,  15.567,  34.737,  35.883,   9.967, 96,  0,   3.784,   3.849,   1.069,   6.944,   7.114,   1.976,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:58:916, 156694305890225,    1.167,   74.000, 3500,  50.435,  62.289,  17.302,  31.045,  39.728,  11.036, 93,  0,   3.945,   4.338,   1.205,   6.715,   7.946,   2.207,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:59:039, 156694578185448,    1.290,   62.000, 3100,  52.912,  68.814,  19.115,  33.569,  43.868,  12.186, 96,  0,   3.999,   4.831,   1.342,   6.828,   8.788,   2.441,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:59:179, 156694888469748,    1.431,   53.000, 3000,  51.577,  76.062,  21.128,  32.017,  48.367,  13.435, 96,  0,   3.856,   5.373,   1.492,   6.785,   9.741,   2.706,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:59:268, 156695084439511,    1.519,  106.000, 3900,  47.560,  80.283,  22.301,  29.343,  50.972,  14.159, 90,  0,   3.017,   5.641,   1.567,   6.499,  10.318,   2.866,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.519425
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 80.283264
Cumulative Processor Energy_0 (mWh) = 22.300907
Average Processor Power_0 (Watt) = 52.837919

Cumulative IA Energy_0 (Joules) = 50.971680
Cumulative IA Energy_0 (mWh) = 14.158800
Average IA Power_0 (Watt) = 33.546687

Cumulative DRAM Energy_0 (Joules) = 5.640747
Cumulative DRAM Energy_0 (mWh) = 1.566874
Average DRAM Power_0 (Watt) = 3.712422

Cumulative GT Energy_0 (Joules) = 10.318237
Cumulative GT Energy_0 (mWh) = 2.866177
Average GT Power_0 (Watt) = 6.790882
