System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:18:59:580, 156695772402995,    0.111,   51.000, 3400,  49.909,   5.519,   1.533,  30.733,   3.398,   0.944, 96,  0,   3.412,   0.377,   0.105,   6.568,   0.726,   0.202,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:59:687, 156696010244495,    0.218,   51.000, 3400,  54.011,  11.337,   3.149,  34.643,   7.130,   1.981, 95,  0,   3.736,   0.780,   0.217,   6.706,   1.449,   0.402,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:59:795, 156696246787919,    0.325,   58.000, 2900,  52.759,  16.989,   4.719,  33.660,  10.736,   2.982, 97,  0,   3.993,   1.207,   0.335,   6.521,   2.147,   0.596,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:18:59:918, 156696518263305,    0.448,   66.000, 3500,  51.947,  23.376,   6.493,  32.687,  14.755,   4.099, 94,  0,   3.857,   1.682,   0.467,   6.690,   2.970,   0.825,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:00:027, 156696759111695,    0.557,   51.000, 3300,  51.040,  28.943,   8.040,  31.740,  18.217,   5.060, 95,  0,   3.695,   2.085,   0.579,   6.790,   3.710,   1.031,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:00:135, 156696997807889,    0.666,   57.000, 3600,  53.436,  34.720,   9.644,  33.864,  21.878,   6.077, 95,  0,   3.980,   2.515,   0.699,   6.996,   4.467,   1.241,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:00:259, 156697271216177,    0.789,   49.000, 3300,  51.788,  41.133,  11.426,  32.158,  25.860,   7.183, 94,  0,   3.771,   2.982,   0.828,   7.007,   5.334,   1.482,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:00:368, 156697511964868,    0.898,   51.000, 3500,  51.871,  46.788,  12.997,  32.477,  29.401,   8.167, 94,  0,   3.802,   3.396,   0.943,   6.852,   6.081,   1.689,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:00:492, 156697785715875,    1.022,   55.000, 3200,  52.786,  53.333,  14.815,  33.684,  33.577,   9.327, 94,  0,   3.790,   3.866,   1.074,   6.547,   6.893,   1.915,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:00:615, 156698057769777,    1.146,   42.000, 3500,  52.250,  59.771,  16.603,  33.115,  37.657,  10.460, 94,  0,   3.785,   4.333,   1.204,   6.654,   7.713,   2.142,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:00:784, 156698431575891,    1.315,   87.000, 2900,  52.651,  68.684,  19.079,  33.532,  43.334,  12.037, 95,  0,   3.754,   4.968,   1.380,   6.656,   8.840,   2.455,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:00:922, 156698736052017,    1.453,   55.000, 3500,  51.325,  75.762,  21.045,  31.713,  47.707,  13.252, 95,  0,   3.814,   5.494,   1.526,   6.959,   9.799,   2.722,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:00:923, 156698739540361,    1.454,   24.000, 3200,  57.641,  75.853,  21.070,  28.009,  47.751,  13.264, 97,  0,   3.438,   5.500,   1.528,   4.945,   9.807,   2.724,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.454386
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 75.852966
Cumulative Processor Energy_0 (mWh) = 21.070268
Average Processor Power_0 (Watt) = 52.154615

Cumulative IA Energy_0 (Joules) = 47.751404
Cumulative IA Energy_0 (mWh) = 13.264279
Average IA Power_0 (Watt) = 32.832679

Cumulative DRAM Energy_0 (Joules) = 5.499634
Cumulative DRAM Energy_0 (mWh) = 1.527676
Average DRAM Power_0 (Watt) = 3.781412

Cumulative GT Energy_0 (Joules) = 9.807129
Cumulative GT Energy_0 (mWh) = 2.724202
Average GT Power_0 (Watt) = 6.743138
