System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:19:07:895, 156714131921278,    0.112,   44.000, 3500,  55.173,   6.167,   1.713,  35.633,   3.983,   1.106, 95,  0,   3.586,   0.401,   0.111,   6.788,   0.759,   0.211,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:08:004, 156714372923122,    0.221,   81.000, 3100,  49.825,  11.605,   3.224,  30.873,   7.352,   2.042, 94,  0,   3.854,   0.821,   0.228,   6.487,   1.467,   0.407,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:08:128, 156714647078768,    0.345,   50.000, 3300,  50.106,  17.826,   4.952,  31.298,  11.239,   3.122, 95,  0,   3.581,   1.266,   0.352,   6.397,   2.261,   0.628,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:08:237, 156714886589473,    0.454,   53.000, 3500,  53.199,  23.597,   6.555,  33.553,  14.878,   4.133, 94,  0,   3.841,   1.683,   0.467,   6.894,   3.009,   0.836,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:08:346, 156715129246940,    0.563,   45.000, 3500,  52.191,  29.333,   8.148,  32.513,  18.451,   5.125, 93,  0,   3.668,   2.086,   0.579,   7.104,   3.790,   1.053,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:08:469, 156715398804320,    0.686,   47.000, 3500,  50.701,  35.522,   9.867,  31.243,  22.266,   6.185, 95,  0,   3.702,   2.538,   0.705,   6.992,   4.643,   1.290,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:08:591, 156715668655340,    0.808,   43.000, 3500,  51.991,  41.876,  11.632,  32.757,  26.269,   7.297, 94,  0,   3.613,   2.979,   0.828,   6.835,   5.479,   1.522,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:08:715, 156715942217007,    0.932,   46.000, 3300,  52.611,  48.395,  13.443,  33.235,  30.386,   8.441, 96,  0,   3.611,   3.427,   0.952,   6.799,   6.321,   1.756,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:08:825, 156716185069029,    1.042,   45.000, 3500,  51.291,  54.036,  15.010,  31.857,  33.890,   9.414, 95,  0,   3.666,   3.830,   1.064,   6.980,   7.089,   1.969,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:08:950, 156716461002343,    1.167,   45.000, 3200,  52.377,  60.582,  16.828,  32.746,  37.983,  10.551, 97,  0,   3.690,   4.291,   1.192,   7.061,   7.971,   2.214,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:09:074, 156716734829049,    1.291,   50.000, 3200,  52.647,  67.111,  18.642,  33.170,  42.096,  11.693, 95,  0,   3.736,   4.754,   1.321,   6.959,   8.834,   2.454,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:09:182, 156716974127032,    1.399,   33.000, 3100,  50.214,  72.553,  20.154,  31.285,  45.487,  12.635, 98,  0,   3.445,   5.128,   1.424,   6.570,   9.546,   2.652,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:09:258, 156717142206919,    1.475,  987.000, 4000,  46.820,  76.117,  21.144,  28.429,  47.651,  13.236, 89,  0,   2.793,   5.340,   1.483,   6.369,  10.031,   2.786,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.475117
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 76.116882
Cumulative Processor Energy_0 (mWh) = 21.143578
Average Processor Power_0 (Watt) = 51.600563

Cumulative IA Energy_0 (Joules) = 47.650879
Cumulative IA Energy_0 (mWh) = 13.236355
Average IA Power_0 (Watt) = 32.303112

Cumulative DRAM Energy_0 (Joules) = 5.340393
Cumulative DRAM Energy_0 (mWh) = 1.483443
Average DRAM Power_0 (Watt) = 3.620318

Cumulative GT Energy_0 (Joules) = 10.030884
Cumulative GT Energy_0 (mWh) = 2.786357
Average GT Power_0 (Watt) = 6.800058
