System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:19:28:760, 156760201805108,    0.120,   45.000, 3300,  57.165,   6.867,   1.907,  38.003,   4.565,   1.268, 96,  0,   3.519,   0.423,   0.117,   6.783,   0.815,   0.226,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:28:867, 156760437938542,    0.227,   42.000, 3600,  53.143,  12.550,   3.486,  33.881,   8.188,   2.275, 95,  0,   3.593,   0.807,   0.224,   6.756,   1.537,   0.427,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:28:975, 156760677470905,    0.336,   47.000, 3100,  53.891,  18.396,   5.110,  34.821,  11.966,   3.324, 97,  0,   3.641,   1.202,   0.334,   6.726,   2.267,   0.630,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:29:082, 156760914355040,    0.443,   45.000, 3500,  51.542,  23.926,   6.646,  32.105,  15.410,   4.281, 95,  0,   3.657,   1.594,   0.443,   6.715,   2.987,   0.830,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:29:206, 156761186213775,    0.566,   47.000, 3200,  53.013,  30.453,   8.459,  33.556,  19.542,   5.428, 95,  0,   3.744,   2.055,   0.571,   6.941,   3.842,   1.067,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:29:375, 156761559494654,    0.735,   91.000, 3300,  47.756,  38.527,  10.702,  28.931,  24.433,   6.787, 94,  0,   3.712,   2.683,   0.745,   6.363,   4.918,   1.366,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:29:499, 156761833916289,    0.859,   49.000, 3600,  52.601,  45.064,  12.518,  33.413,  28.586,   7.940, 95,  0,   3.681,   3.140,   0.872,   6.865,   5.771,   1.603,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:29:610, 156762078573133,    0.970,   48.000, 3500,  53.800,  51.026,  14.174,  34.329,  32.389,   8.997, 95,  0,   3.714,   3.552,   0.987,   6.823,   6.527,   1.813,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:29:719, 156762319746443,    1.079,   46.000, 3200,  52.480,  56.758,  15.766,  33.223,  36.018,  10.005, 95,  0,   3.659,   3.951,   1.098,   6.806,   7.270,   2.020,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:29:842, 156762591596833,    1.202,   74.000, 3400,  49.295,  62.827,  17.452,  30.207,  39.737,  11.038, 94,  0,   3.802,   4.420,   1.228,   6.605,   8.083,   2.245,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:29:964, 156762861633863,    1.325,   57.000, 3200,  51.911,  69.176,  19.215,  32.265,  43.683,  12.134, 95,  0,   3.847,   4.890,   1.358,   6.777,   8.912,   2.476,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:30:073, 156763101741071,    1.433,   61.000, 3200,  49.765,  74.587,  20.719,  30.883,  47.042,  13.067, 95,  0,   3.749,   5.298,   1.472,   6.738,   9.645,   2.679,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:30:099, 156763159742997,    1.460,   83.000, 3000,  50.819,  75.922,  21.090,  30.296,  47.837,  13.288, 95,  0,   4.038,   5.404,   1.501,   6.204,   9.808,   2.724,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.459767
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 75.922363
Cumulative Processor Energy_0 (mWh) = 21.089545
Average Processor Power_0 (Watt) = 52.009928

Cumulative IA Energy_0 (Joules) = 47.837463
Cumulative IA Energy_0 (mWh) = 13.288184
Average IA Power_0 (Watt) = 32.770621

Cumulative DRAM Energy_0 (Joules) = 5.403931
Cumulative DRAM Energy_0 (mWh) = 1.501092
Average DRAM Power_0 (Watt) = 3.701914

Cumulative GT Energy_0 (Joules) = 9.807983
Cumulative GT Energy_0 (mWh) = 2.724440
Average GT Power_0 (Watt) = 6.718870
