System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:19:32:203, 156767803910762,    0.114,   56.000, 3100,  48.022,   5.476,   1.521,  28.619,   3.263,   0.906, 90,  0,   3.705,   0.422,   0.117,   6.899,   0.787,   0.219,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:32:313, 156768046573950,    0.224,   49.000, 3000,  45.762,  10.505,   2.918,  26.477,   6.173,   1.715, 92,  0,   3.658,   0.824,   0.229,   6.756,   1.529,   0.425,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:32:422, 156768287390504,    0.333,   47.000, 3000,  43.168,  15.213,   4.226,  23.885,   8.778,   2.438, 89,  0,   3.628,   1.220,   0.339,   6.855,   2.277,   0.632,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:32:545, 156768560199278,    0.457,   67.000, 3000,  48.626,  21.221,   5.895,  29.388,  12.409,   3.447, 92,  0,   3.829,   1.693,   0.470,   6.522,   3.083,   0.856,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:32:672, 156768840802268,    0.584,   46.000, 3000,  44.135,  26.830,   7.453,  25.406,  15.638,   4.344, 92,  0,   3.745,   2.169,   0.603,   6.258,   3.878,   1.077,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:32:858, 156769250718937,    0.769,   86.000, 3000,  44.091,  35.015,   9.726,  24.973,  20.274,   5.632, 87,  0,   3.658,   2.848,   0.791,   6.765,   5.134,   1.426,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:32:967, 156769490581575,    0.878,   42.000, 3000,  42.324,  39.613,  11.004,  23.007,  22.773,   6.326, 88,  0,   3.540,   3.233,   0.898,   6.738,   5.866,   1.629,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:33:089, 156769760513747,    1.000,   45.000, 3100,  43.720,  44.958,  12.488,  24.714,  25.795,   7.165, 88,  0,   3.553,   3.667,   1.019,   6.652,   6.679,   1.855,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:33:212, 156770031901457,    1.123,   46.000, 3100,  44.960,  50.484,  14.023,  25.737,  28.958,   8.044, 90,  0,   3.599,   4.109,   1.141,   6.710,   7.504,   2.084,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:33:333, 156770300377265,    1.245,   44.000, 3100,  44.477,  55.892,  15.526,  25.281,  32.032,   8.898, 89,  0,   3.542,   4.540,   1.261,   6.642,   8.311,   2.309,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:33:458, 156770574991017,    1.369,   50.000, 3100,  45.068,  61.497,  17.083,  26.001,  35.266,   9.796, 88,  0,   3.622,   4.991,   1.386,   6.708,   9.146,   2.540,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:33:565, 156770811697269,    1.476,   38.000, 3100,  44.712,  66.291,  18.414,  25.806,  38.032,  10.565, 89,  0,   3.581,   5.374,   1.493,   6.555,   9.848,   2.736,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:33:625, 156770945090651,    1.537, 1087.000, 3100,  40.496,  68.737,  19.094,  20.904,  39.295,  10.915, 86,  0,   3.582,   5.591,   1.553,   6.681,  10.252,   2.848,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.536652
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 68.737122
Cumulative Processor Energy_0 (mWh) = 19.093645
Average Processor Power_0 (Watt) = 44.731744

Cumulative IA Energy_0 (Joules) = 39.295166
Cumulative IA Energy_0 (mWh) = 10.915324
Average IA Power_0 (Watt) = 25.571936

Cumulative DRAM Energy_0 (Joules) = 5.590881
Cumulative DRAM Energy_0 (mWh) = 1.553023
Average DRAM Power_0 (Watt) = 3.638352

Cumulative GT Energy_0 (Joules) = 10.252014
Cumulative GT Energy_0 (mWh) = 2.847782
Average GT Power_0 (Watt) = 6.671657
