System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:19:37:442, 156779372971932,    0.108,   46.000, 3100,  46.954,   5.091,   1.414,  27.724,   3.006,   0.835, 89,  0,   3.453,   0.374,   0.104,   6.545,   0.710,   0.197,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:37:568, 156779650368736,    0.234,   71.000, 3000,  48.789,  11.220,   3.117,  30.146,   6.793,   1.887, 96,  0,   3.765,   0.847,   0.235,   6.363,   1.509,   0.419,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:37:690, 156779920671934,    0.356,   58.000, 3000,  45.580,  16.800,   4.667,  26.421,  10.027,   2.785, 90,  0,   3.824,   1.315,   0.365,   6.405,   2.293,   0.637,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:37:814, 156780194389189,    0.480,   54.000, 3000,  44.954,  22.373,   6.215,  25.652,  13.207,   3.669, 90,  0,   3.696,   1.774,   0.493,   6.777,   3.133,   0.870,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:37:940, 156780472444997,    0.606,   47.000, 3000,  45.178,  28.062,   7.795,  26.020,  16.484,   4.579, 90,  0,   3.679,   2.237,   0.621,   6.623,   3.967,   1.102,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:38:125, 156780879872689,    0.791,   72.000, 3000,  43.993,  36.180,  10.050,  24.756,  21.052,   5.848, 88,  0,   3.717,   2.923,   0.812,   6.822,   5.226,   1.452,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:38:248, 156781151532984,    0.914,   56.000, 3000,  44.125,  41.608,  11.558,  24.695,  24.091,   6.692, 87,  0,   3.792,   3.389,   0.941,   6.910,   6.076,   1.688,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:38:358, 156781394568387,    1.024,   44.000, 3000,  42.850,  46.325,  12.868,  23.659,  26.695,   7.415, 88,  0,   3.554,   3.780,   1.050,   6.781,   6.823,   1.895,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:38:480, 156781665345265,    1.147,   44.000, 3100,  44.188,  51.744,  14.373,  24.840,  29.741,   8.261, 88,  0,   3.601,   4.222,   1.173,   6.760,   7.652,   2.125,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:38:588, 156781901842445,    1.254,   48.000, 3100,  45.215,  56.587,  15.719,  25.987,  32.524,   9.035, 90,  0,   3.656,   4.614,   1.282,   6.798,   8.380,   2.328,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:38:696, 156782140351257,    1.362,   46.000, 3100,  45.208,  61.470,  17.075,  26.011,  35.334,   9.815, 88,  0,   3.574,   5.000,   1.389,   6.740,   9.108,   2.530,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:38:818, 156782410772430,    1.484,   49.000, 3100,  45.341,  67.023,  18.618,  26.163,  38.538,  10.705, 89,  0,   3.660,   5.448,   1.513,   6.857,   9.948,   2.763,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:38:833, 156782445449729,    1.500,   61.000, 3000,  45.878,  67.744,  18.818,  25.300,  38.936,  10.815, 89,  0,   3.890,   5.509,   1.530,   7.054,  10.058,   2.794,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.499930
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 67.743835
Cumulative Processor Energy_0 (mWh) = 18.817732
Average Processor Power_0 (Watt) = 45.164668

Cumulative IA Energy_0 (Joules) = 38.935669
Cumulative IA Energy_0 (mWh) = 10.815464
Average IA Power_0 (Watt) = 25.958326

Cumulative DRAM Energy_0 (Joules) = 5.508972
Cumulative DRAM Energy_0 (mWh) = 1.530270
Average DRAM Power_0 (Watt) = 3.672820

Cumulative GT Energy_0 (Joules) = 10.058411
Cumulative GT Energy_0 (mWh) = 2.794003
Average GT Power_0 (Watt) = 6.705921
