System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:30:10:667, 158177537764791,    0.174,   88.000, 2800,  47.245,   8.227,   2.285,  28.175,   4.906,   1.363, 92,  0,   3.845,   0.670,   0.186,   6.504,   1.133,   0.315,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:10:791, 158177812559409,    0.299,   67.000, 2900,  43.058,  13.586,   3.774,  23.858,   7.876,   2.188, 89,  0,   3.921,   1.158,   0.322,   6.447,   1.935,   0.537,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:10:915, 158178085729363,    0.422,   61.000, 2900,  43.484,  18.966,   5.268,  24.253,  10.876,   3.021, 90,  0,   3.772,   1.624,   0.451,   6.605,   2.752,   0.764,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:11:036, 158178352411546,    0.543,   60.000, 3000,  42.922,  24.150,   6.708,  24.038,  13.779,   3.828, 90,  0,   3.702,   2.071,   0.575,   6.668,   3.557,   0.988,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:11:162, 158178630377560,    0.669,   83.000, 2900,  48.255,  30.224,   8.396,  29.111,  17.444,   4.846, 94,  0,   4.025,   2.578,   0.716,   6.447,   4.369,   1.214,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:11:300, 158178935473560,    0.807,   82.000, 2800,  45.316,  36.486,  10.135,  26.591,  21.118,   5.866, 93,  0,   3.547,   3.068,   0.852,   6.288,   5.238,   1.455,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:11:423, 158179206309511,    0.930,   80.000, 2800,  44.391,  41.931,  11.648,  25.044,  24.190,   6.719, 90,  0,   3.850,   3.540,   0.983,   6.635,   6.052,   1.681,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:11:544, 158179475077436,    1.052,   54.000, 2900,  42.315,  47.082,  13.078,  23.220,  27.017,   7.505, 87,  0,   3.551,   3.973,   1.104,   6.521,   6.846,   1.902,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:11:566, 158179522200799,    1.073,  186.000, 3000,  34.561,  47.819,  13.283,  18.523,  27.412,   7.614, 92,  0,   1.836,   4.012,   1.114,   5.256,   6.958,   1.933,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.072880
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 47.819458
Cumulative Processor Energy_0 (mWh) = 13.283183
Average Processor Power_0 (Watt) = 44.571118

Cumulative IA Energy_0 (Joules) = 27.411987
Cumulative IA Energy_0 (mWh) = 7.614441
Average IA Power_0 (Watt) = 25.549911

Cumulative DRAM Energy_0 (Joules) = 4.011841
Cumulative DRAM Energy_0 (mWh) = 1.114400
Average DRAM Power_0 (Watt) = 3.739319

Cumulative GT Energy_0 (Joules) = 6.957703
Cumulative GT Energy_0 (mWh) = 1.932695
Average GT Power_0 (Watt) = 6.485071
