System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:30:11:929, 158180324608423,    0.120,   87.000, 2800,  45.295,   5.444,   1.512,  26.142,   3.142,   0.873, 91,  0,   3.780,   0.454,   0.126,   6.318,   0.759,   0.211,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:12:051, 158180592654239,    0.242,   78.000, 2800,  43.989,  10.784,   2.996,  25.054,   6.183,   1.718, 91,  0,   3.887,   0.926,   0.257,   6.479,   1.546,   0.429,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:12:175, 158180868382979,    0.366,   89.000, 2800,  46.374,  16.575,   4.604,  27.338,   9.597,   2.666, 94,  0,   3.930,   1.417,   0.394,   6.373,   2.342,   0.650,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:12:298, 158181139162393,    0.489,   77.000, 2800,  43.902,  21.959,   6.100,  25.267,  12.696,   3.527, 89,  0,   3.757,   1.878,   0.522,   6.274,   3.111,   0.864,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:12:421, 158181412126777,    0.613,   62.000, 2900,  42.721,  27.241,   7.567,  23.508,  15.602,   4.334, 89,  0,   3.648,   2.329,   0.647,   6.595,   3.926,   1.091,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:12:545, 158181685155433,    0.736,   69.000, 2900,  43.798,  32.656,   9.071,  24.594,  18.643,   5.179, 90,  0,   3.738,   2.791,   0.775,   6.569,   4.739,   1.316,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:12:656, 158181929342316,    0.847,   59.000, 3000,  43.874,  37.508,  10.419,  25.026,  21.411,   5.947, 91,  0,   3.725,   3.203,   0.890,   6.593,   5.468,   1.519,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:12:778, 158182200272603,    0.970,   82.000, 2900,  46.309,  43.191,  11.997,  26.681,  24.685,   6.857, 91,  0,   4.045,   3.699,   1.028,   6.838,   6.307,   1.752,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:12:786, 158182218464851,    0.978,   73.000, 2900,  44.907,  43.561,  12.100,  26.824,  24.906,   6.918, 91,  0,   3.956,   3.732,   1.037,   6.615,   6.361,   1.767,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.977915
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.560730
Cumulative Processor Energy_0 (mWh) = 12.100203
Average Processor Power_0 (Watt) = 44.544516

Cumulative IA Energy_0 (Joules) = 24.905762
Cumulative IA Energy_0 (mWh) = 6.918267
Average IA Power_0 (Watt) = 25.468239

Cumulative DRAM Energy_0 (Joules) = 3.731750
Cumulative DRAM Energy_0 (mWh) = 1.036597
Average DRAM Power_0 (Watt) = 3.816029

Cumulative GT Energy_0 (Joules) = 6.361389
Cumulative GT Energy_0 (mWh) = 1.767053
Average GT Power_0 (Watt) = 6.505056
