System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:30:13:103, 158182915949511,    0.112,   74.000, 2800,  43.898,   4.921,   1.367,  24.931,   2.795,   0.776, 92,  0,   3.668,   0.411,   0.114,   6.496,   0.728,   0.202,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:13:226, 158183187340205,    0.235,   80.000, 2900,  44.488,  10.389,   2.886,  25.171,   5.888,   1.636, 92,  0,   3.906,   0.891,   0.248,   6.684,   1.550,   0.430,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:13:348, 158183458321897,    0.358,   68.000, 2900,  43.855,  15.771,   4.381,  24.579,   8.905,   2.474, 90,  0,   3.691,   1.344,   0.373,   6.665,   2.368,   0.658,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:13:455, 158183694576849,    0.465,   64.000, 2900,  44.227,  20.503,   5.695,  25.158,  11.597,   3.221, 89,  0,   3.638,   1.733,   0.482,   6.568,   3.070,   0.853,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:13:580, 158183969361017,    0.589,   60.000, 3000,  42.977,  25.852,   7.181,  23.898,  14.571,   4.047, 90,  0,   3.694,   2.193,   0.609,   6.745,   3.910,   1.086,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:13:702, 158184240463731,    0.712,   83.000, 2900,  47.680,  31.706,   8.807,  28.639,  18.087,   5.024, 92,  0,   3.939,   2.677,   0.744,   6.373,   4.692,   1.303,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:13:843, 158184551959732,    0.853,   74.000, 2900,  44.835,  38.031,  10.564,  25.850,  21.734,   6.037, 91,  0,   3.875,   3.223,   0.895,   6.429,   5.599,   1.555,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:13:967, 158184824080227,    0.976,   61.000, 2900,  43.065,  43.339,  12.038,  23.751,  24.661,   6.850, 88,  0,   3.831,   3.695,   1.027,   6.772,   6.434,   1.787,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:14:011, 158184921422743,    1.020,  463.000, 3000,  41.298,  45.159,  12.544,  21.649,  25.616,   7.115, 88,  0,   3.796,   3.863,   1.073,   7.101,   6.747,   1.874,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.020369
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 45.159180
Cumulative Processor Energy_0 (mWh) = 12.544217
Average Processor Power_0 (Watt) = 44.257677

Cumulative IA Energy_0 (Joules) = 25.615601
Cumulative IA Energy_0 (mWh) = 7.115445
Average IA Power_0 (Watt) = 25.104242

Cumulative DRAM Energy_0 (Joules) = 3.862854
Cumulative DRAM Energy_0 (mWh) = 1.073015
Average DRAM Power_0 (Watt) = 3.785741

Cumulative GT Energy_0 (Joules) = 6.746948
Cumulative GT Energy_0 (mWh) = 1.874152
Average GT Power_0 (Watt) = 6.612260
