System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:30:14:306, 158185574410343,    0.104,   66.000, 3000,  45.801,   4.741,   1.317,  27.235,   2.819,   0.783, 90,  0,   3.576,   0.370,   0.103,   6.354,   0.658,   0.183,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:14:416, 158185815206222,    0.213,   58.000, 3000,  44.541,   9.598,   2.666,  25.377,   5.586,   1.552, 91,  0,   3.657,   0.769,   0.214,   6.655,   1.383,   0.384,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:14:526, 158186058569305,    0.323,   60.000, 3000,  45.059,  14.565,   4.046,  25.511,   8.398,   2.333, 89,  0,   3.754,   1.183,   0.329,   6.724,   2.125,   0.590,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:14:633, 158186294966412,    0.430,   59.000, 3000,  44.736,  19.354,   5.376,  25.575,  11.136,   3.093, 90,  0,   3.696,   1.578,   0.438,   6.653,   2.837,   0.788,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:14:743, 158186536851767,    0.539,   60.000, 3000,  44.887,  24.272,   6.742,  25.854,  13.969,   3.880, 90,  0,   3.686,   1.982,   0.551,   6.745,   3.576,   0.993,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:14:866, 158186808752514,    0.663,   61.000, 2900,  44.240,  29.719,   8.255,  25.010,  17.048,   4.736, 89,  0,   3.755,   2.445,   0.679,   6.736,   4.405,   1.224,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:14:991, 158187084798538,    0.788,   66.000, 3000,  44.892,  35.332,   9.814,  25.462,  20.232,   5.620, 91,  0,   3.785,   2.918,   0.810,   6.871,   5.264,   1.462,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:15:100, 158187325899591,    0.897,   50.000, 3000,  42.549,  39.978,  11.105,  23.264,  22.772,   6.326, 88,  0,   3.532,   3.303,   0.918,   6.857,   6.013,   1.670,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:15:103, 158187334305373,    0.901,   35.000, 3000,  45.420,  40.151,  11.153,  22.991,  22.859,   6.350, 89,  0,   4.265,   3.320,   0.922,   8.193,   6.044,   1.679,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.900560
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 40.150940
Cumulative Processor Energy_0 (mWh) = 11.153039
Average Processor Power_0 (Watt) = 44.584404

Cumulative IA Energy_0 (Joules) = 22.859497
Cumulative IA Energy_0 (mWh) = 6.349860
Average IA Power_0 (Watt) = 25.383641

Cumulative DRAM Energy_0 (Joules) = 3.319702
Cumulative DRAM Energy_0 (mWh) = 0.922139
Average DRAM Power_0 (Watt) = 3.686263

Cumulative GT Energy_0 (Joules) = 6.044373
Cumulative GT Energy_0 (mWh) = 1.678992
Average GT Power_0 (Watt) = 6.711792
