System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:29:07:851, 158038840171549,    0.109,   41.000, 3400,  54.448,   5.918,   1.644,  35.748,   3.885,   1.079, 95,  0,   3.380,   0.367,   0.102,   6.540,   0.711,   0.197,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:07:974, 158039111632598,    0.232,   82.000, 3600,  50.086,  12.075,   3.354,  31.136,   7.713,   2.143, 92,  0,   3.878,   0.844,   0.234,   6.453,   1.504,   0.418,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:08:083, 158039351115985,    0.340,   46.000, 3100,  53.507,  17.879,   4.966,  33.772,  11.376,   3.160, 96,  0,   3.738,   1.250,   0.347,   6.875,   2.250,   0.625,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:08:207, 158039625479945,    0.464,   45.000, 3400,  51.453,  24.272,   6.742,  32.161,  15.372,   4.270, 95,  0,   3.723,   1.712,   0.476,   6.903,   3.108,   0.863,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:08:391, 158040031031413,    0.648,   67.000, 3400,  51.509,  33.733,   9.370,  32.005,  21.251,   5.903, 94,  0,   3.913,   2.431,   0.675,   6.795,   4.356,   1.210,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:08:532, 158040343086444,    0.789,   56.000, 3600,  51.972,  41.078,  11.411,  32.783,  25.884,   7.190, 94,  0,   3.605,   2.940,   0.817,   6.825,   5.320,   1.478,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:08:656, 158040616837591,    0.913,   55.000, 3100,  51.496,  47.463,  13.184,  31.925,  29.842,   8.290, 95,  0,   3.774,   3.408,   0.947,   6.933,   6.180,   1.717,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:08:780, 158040890299533,    1.037,   60.000, 2800,  52.790,  54.001,  15.000,  33.044,  33.935,   9.426, 97,  0,   3.861,   3.886,   1.080,   7.103,   7.060,   1.961,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:08:901, 158041158252084,    1.159,   68.000, 3300,  48.256,  59.857,  16.627,  29.061,  37.462,  10.406, 94,  0,   3.868,   4.356,   1.210,   6.843,   7.890,   2.192,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:09:026, 158041433022624,    1.283,   61.000, 3200,  52.371,  66.374,  18.437,  32.595,  41.518,  11.533, 96,  0,   3.872,   4.838,   1.344,   6.902,   8.749,   2.430,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:09:157, 158041724804489,    1.415,   75.000, 2600,  50.474,  73.044,  20.290,  31.277,  45.651,  12.681, 97,  0,   3.781,   5.337,   1.483,   6.692,   9.633,   2.676,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:09:288, 158042012186665,    1.545,   52.000, 3400,  48.043,  79.297,  22.027,  29.030,  49.429,  13.730, 94,  0,   3.885,   5.843,   1.623,   6.567,  10.488,   2.913,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:09:389, 158042234762833,    1.646,  349.000, 3500,  47.942,  84.130,  23.369,  28.999,  52.353,  14.542, 91,  0,   3.907,   6.237,   1.732,   6.221,  11.115,   3.088,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.646086
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 84.129944
Cumulative Processor Energy_0 (mWh) = 23.369429
Average Processor Power_0 (Watt) = 51.109080

Cumulative IA Energy_0 (Joules) = 52.352600
Cumulative IA Energy_0 (mWh) = 14.542389
Average IA Power_0 (Watt) = 31.804291

Cumulative DRAM Energy_0 (Joules) = 6.236694
Cumulative DRAM Energy_0 (mWh) = 1.732415
Average DRAM Power_0 (Watt) = 3.788802

Cumulative GT Energy_0 (Joules) = 11.115112
Cumulative GT Energy_0 (mWh) = 3.087531
Average GT Power_0 (Watt) = 6.752449
