System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:29:13:082, 158050389752355,    0.109,   46.000, 3100,  44.696,   4.856,   1.349,  26.027,   2.827,   0.785, 90,  0,   3.360,   0.365,   0.101,   6.578,   0.715,   0.198,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:13:207, 158050665359015,    0.233,   57.000, 3000,  46.578,  10.669,   2.964,  26.963,   6.193,   1.720, 89,  0,   3.837,   0.844,   0.234,   6.946,   1.582,   0.439,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:13:333, 158050944141417,    0.360,   39.000, 3000,  45.019,  16.354,   4.543,  25.909,   9.464,   2.629, 92,  0,   3.737,   1.316,   0.365,   6.694,   2.427,   0.674,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:13:548, 158051418522724,    0.575,   76.000, 3000,  44.440,  25.901,   7.195,  25.347,  14.910,   4.142, 91,  0,   3.549,   2.078,   0.577,   6.633,   3.852,   1.070,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:13:657, 158051658219860,    0.683,   47.000, 3000,  43.769,  30.653,   8.515,  24.217,  17.539,   4.872, 89,  0,   3.671,   2.477,   0.688,   6.834,   4.594,   1.276,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:13:780, 158051931000836,    0.807,   77.000, 2900,  48.383,  36.630,  10.175,  29.414,  21.173,   5.881, 92,  0,   3.896,   2.958,   0.822,   6.623,   5.412,   1.503,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:13:905, 158052205886458,    0.931,   49.000, 3000,  43.672,  42.067,  11.685,  24.119,  24.176,   6.715, 89,  0,   3.658,   3.414,   0.948,   6.829,   6.262,   1.740,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:14:029, 158052479834450,    1.055,   63.000, 3000,  45.786,  47.748,  13.263,  26.515,  27.465,   7.629, 90,  0,   3.727,   3.876,   1.077,   6.771,   7.102,   1.973,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:14:151, 158052750553563,    1.178,   51.000, 3000,  43.729,  53.109,  14.753,  24.457,  30.464,   8.462, 89,  0,   3.688,   4.328,   1.202,   6.926,   7.952,   2.209,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:14:261, 158052992353924,    1.287,   63.000, 2900,  46.600,  58.213,  16.170,  26.877,  33.407,   9.280, 92,  0,   3.936,   4.759,   1.322,   6.989,   8.717,   2.421,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:14:445, 158053398480273,    1.471,   94.000, 2800,  46.133,  66.698,  18.527,  26.588,  38.298,  10.638, 89,  0,   4.084,   5.510,   1.531,   6.827,   9.973,   2.770,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:14:568, 158053670207062,    1.594,   64.000, 2900,  43.713,  72.077,  20.022,  24.643,  41.330,  11.481, 91,  0,   3.748,   5.972,   1.659,   6.605,  10.786,   2.996,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:14:586, 158053712867907,    1.614,   38.000, 2900,  42.621,  72.901,  20.250,  24.700,  41.807,  11.613, 94,  0,   3.399,   6.037,   1.677,   6.163,  10.905,   3.029,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.613663
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 72.900940
Cumulative Processor Energy_0 (mWh) = 20.250261
Average Processor Power_0 (Watt) = 45.177294

Cumulative IA Energy_0 (Joules) = 41.807495
Cumulative IA Energy_0 (mWh) = 11.613193
Average IA Power_0 (Watt) = 25.908438

Cumulative DRAM Energy_0 (Joules) = 6.037231
Cumulative DRAM Energy_0 (mWh) = 1.677009
Average DRAM Power_0 (Watt) = 3.741320

Cumulative GT Energy_0 (Joules) = 10.904602
Cumulative GT Energy_0 (mWh) = 3.029056
Average GT Power_0 (Watt) = 6.757669
