System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:30:39:153, 158240435433739,    0.102,   72.000, 2900,  46.372,   4.710,   1.308,  27.414,   2.785,   0.774, 92,  0,   3.536,   0.359,   0.100,   6.366,   0.647,   0.180,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:39:261, 158240673520547,    0.209,   68.000, 2900,  43.850,   9.439,   2.622,  24.938,   5.474,   1.520, 91,  0,   3.513,   0.738,   0.205,   6.414,   1.338,   0.372,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:39:367, 158240908831057,    0.316,   66.000, 3100,  49.200,  14.682,   4.078,  30.478,   8.722,   2.423, 93,  0,   3.575,   1.119,   0.311,   6.528,   2.034,   0.565,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:39:476, 158241147772501,    0.424,   70.000, 2600,  52.442,  20.357,   5.655,  33.025,  12.296,   3.415, 93,  0,   3.809,   1.531,   0.425,   6.888,   2.779,   0.772,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:39:586, 158241390804614,    0.534,   69.000, 2700,  39.844,  24.743,   6.873,  21.003,  14.607,   4.058, 90,  0,   3.492,   1.916,   0.532,   6.462,   3.491,   0.970,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:39:695, 158241631307239,    0.643,   69.000, 2800,  41.923,  29.309,   8.141,  23.090,  17.122,   4.756, 90,  0,   3.558,   2.303,   0.640,   6.384,   4.186,   1.163,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:39:802, 158241868457464,    0.751,   73.000, 2800,  44.205,  34.057,   9.460,  24.915,  19.798,   5.500, 92,  0,   3.784,   2.709,   0.753,   6.507,   4.885,   1.357,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:39:942, 158242178405951,    0.891,   77.000, 2900,  43.285,  40.133,  11.148,  24.790,  23.278,   6.466, 89,  0,   3.727,   3.233,   0.898,   6.107,   5.742,   1.595,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:39:958, 158242212530981,    0.906,  131.000, 2900,  45.159,  40.831,  11.342,  24.611,  23.659,   6.572, 91,  0,   3.953,   3.294,   0.915,   6.627,   5.845,   1.623,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.906420
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 40.831116
Cumulative Processor Energy_0 (mWh) = 11.341977
Average Processor Power_0 (Watt) = 45.046561

Cumulative IA Energy_0 (Joules) = 23.658691
Cumulative IA Energy_0 (mWh) = 6.571859
Average IA Power_0 (Watt) = 26.101239

Cumulative DRAM Energy_0 (Joules) = 3.293701
Cumulative DRAM Energy_0 (mWh) = 0.914917
Average DRAM Power_0 (Watt) = 3.633746

Cumulative GT Energy_0 (Joules) = 5.844543
Cumulative GT Energy_0 (mWh) = 1.623484
Average GT Power_0 (Watt) = 6.447940
