System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:30:30:077, 158220396238601,    0.121,   86.000, 2800,  46.656,   5.634,   1.565,  27.772,   3.353,   0.931, 92,  0,   3.662,   0.442,   0.123,   6.306,   0.761,   0.212,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:30:201, 158220669230937,    0.244,   85.000, 3000,  47.513,  11.508,   3.197,  28.461,   6.872,   1.909, 94,  0,   3.735,   0.904,   0.251,   6.382,   1.551,   0.431,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:30:308, 158220906394481,    0.352,   90.000, 2900,  50.899,  16.975,   4.715,  32.180,  10.329,   2.869, 95,  0,   3.760,   1.308,   0.363,   6.369,   2.235,   0.621,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:30:417, 158221147510683,    0.461,   70.000, 2400,  46.430,  22.045,   6.124,  27.832,  13.368,   3.713, 91,  0,   3.515,   1.692,   0.470,   6.236,   2.916,   0.810,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:30:541, 158221420947797,    0.585,   82.000, 2600,  39.628,  26.953,   7.487,  21.029,  15.972,   4.437, 89,  0,   3.441,   2.118,   0.588,   6.168,   3.680,   1.022,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:30:663, 158221690161376,    0.707,   83.000, 2700,  41.374,  31.997,   8.888,  22.887,  18.763,   5.212, 89,  0,   3.419,   2.535,   0.704,   6.114,   4.425,   1.229,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:30:787, 158221962930209,    0.830,   76.000, 2800,  42.502,  37.248,  10.347,  23.526,  21.669,   6.019, 89,  0,   3.655,   2.986,   0.829,   6.344,   5.209,   1.447,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:30:910, 158222235948104,    0.954,   79.000, 2800,  43.588,  42.637,  11.844,  25.013,  24.762,   6.878, 89,  0,   3.859,   3.463,   0.962,   6.236,   5.980,   1.661,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:30:925, 158222266938583,    0.968,   60.000, 2800,  41.499,  43.220,  12.006,  22.522,  25.078,   6.966, 89,  0,   3.770,   3.516,   0.977,   6.632,   6.073,   1.687,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.967983
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.219910
Cumulative Processor Energy_0 (mWh) = 12.005530
Average Processor Power_0 (Watt) = 44.649470

Cumulative IA Energy_0 (Joules) = 25.077820
Cumulative IA Energy_0 (mWh) = 6.966061
Average IA Power_0 (Watt) = 25.907305

Cumulative DRAM Energy_0 (Joules) = 3.516113
Cumulative DRAM Energy_0 (mWh) = 0.976698
Average DRAM Power_0 (Watt) = 3.632414

Cumulative GT Energy_0 (Joules) = 6.072815
Cumulative GT Energy_0 (mWh) = 1.686893
Average GT Power_0 (Watt) = 6.273682
