System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:30:33:423, 158227782869547,    0.116,   62.000, 2900,  46.211,   5.346,   1.485,  27.430,   3.173,   0.882, 90,  0,   3.591,   0.415,   0.115,   6.563,   0.759,   0.211,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:33:547, 158228057856960,    0.240,   99.000, 2900,  47.373,  11.246,   3.124,  28.469,   6.719,   1.866, 92,  0,   3.803,   0.889,   0.247,   6.234,   1.536,   0.427,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:33:671, 158228331797682,    0.364,   74.000, 2900,  43.749,  16.674,   4.632,  24.829,   9.800,   2.722, 90,  0,   3.724,   1.351,   0.375,   6.441,   2.335,   0.649,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:33:778, 158228567027105,    0.471,   70.000, 2900,  43.592,  21.318,   5.922,  24.699,  12.431,   3.453, 91,  0,   3.653,   1.740,   0.483,   6.601,   3.038,   0.844,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:33:886, 158228806955372,    0.579,   73.000, 2900,  45.299,  26.240,   7.289,  26.250,  15.283,   4.245, 91,  0,   3.876,   2.161,   0.600,   6.353,   3.728,   1.036,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:34:009, 158229076567513,    0.702,   77.000, 2900,  44.757,  31.705,   8.807,  25.804,  18.434,   5.121, 91,  0,   3.770,   2.622,   0.728,   6.479,   4.519,   1.255,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:34:133, 158229350310177,    0.826,   76.000, 2900,  45.216,  37.311,  10.364,  26.137,  21.674,   6.021, 92,  0,   3.822,   3.096,   0.860,   6.484,   5.323,   1.479,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:34:257, 158229624659104,    0.950,   53.000, 3000,  41.622,  42.483,  11.801,  22.312,  24.447,   6.791, 89,  0,   3.478,   3.528,   0.980,   6.635,   6.148,   1.708,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:34:258, 158229626666485,    0.951,   31.000, 3000,   0.000,  42.483,  11.801,  21.215,  24.466,   6.796, 89,  0,   0.000,   3.528,   0.980,   4.632,   6.152,   1.709,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.950743
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 42.482788
Cumulative Processor Energy_0 (mWh) = 11.800774
Average Processor Power_0 (Watt) = 44.683759

Cumulative IA Energy_0 (Joules) = 24.466064
Cumulative IA Energy_0 (mWh) = 6.796129
Average IA Power_0 (Watt) = 25.733615

Cumulative DRAM Energy_0 (Joules) = 3.527710
Cumulative DRAM Energy_0 (mWh) = 0.979919
Average DRAM Power_0 (Watt) = 3.710475

Cumulative GT Energy_0 (Joules) = 6.151855
Cumulative GT Energy_0 (mWh) = 1.708849
Average GT Power_0 (Watt) = 6.470574
