System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:30:34:538, 158230244625841,    0.110,   68.000, 3000,  46.205,   5.067,   1.407,  27.708,   3.038,   0.844, 91,  0,   3.467,   0.380,   0.106,   6.358,   0.697,   0.194,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:34:645, 158230482441555,    0.217,   72.000, 2900,  47.047,  10.134,   2.815,  27.924,   6.046,   1.679, 93,  0,   3.706,   0.779,   0.216,   6.491,   1.396,   0.388,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:34:754, 158230722964263,    0.326,   69.000, 3300,  44.807,  15.015,   4.171,  25.867,   8.864,   2.462, 93,  0,   3.662,   1.178,   0.327,   6.443,   2.098,   0.583,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:34:863, 158230963231400,    0.435,   68.000, 3300,  52.150,  20.690,   5.747,  32.662,  12.418,   3.449, 96,  0,   4.013,   1.615,   0.449,   6.772,   2.835,   0.788,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:35:048, 158231370539726,    0.620,  101.000, 3100,  49.370,  29.797,   8.277,  30.760,  18.092,   5.026, 95,  0,   3.796,   2.315,   0.643,   6.197,   3.978,   1.105,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:35:172, 158231644643523,    0.744,   82.000, 2500,  44.731,  35.350,   9.819,  25.443,  21.251,   5.903, 91,  0,   3.869,   2.795,   0.777,   6.682,   4.808,   1.336,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:35:311, 158231953129442,    0.883,   73.000, 2700,  39.278,  40.838,  11.344,  20.255,  24.081,   6.689, 89,  0,   3.608,   3.300,   0.917,   6.480,   5.713,   1.587,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:35:435, 158232225848567,    1.007,   56.000, 2900,  39.865,  45.762,  12.712,  20.580,  26.623,   7.395, 91,  0,   3.559,   3.739,   1.039,   6.646,   6.534,   1.815,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:35:451, 158232260550743,    1.023,   33.000, 2900,  41.911,  46.420,  12.895,  26.338,  27.036,   7.510, 90,  0,   2.563,   3.779,   1.050,   5.584,   6.622,   1.839,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.022667
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 46.420227
Cumulative Processor Energy_0 (mWh) = 12.894508
Average Processor Power_0 (Watt) = 45.391363

Cumulative IA Energy_0 (Joules) = 27.036499
Cumulative IA Energy_0 (mWh) = 7.510139
Average IA Power_0 (Watt) = 26.437258

Cumulative DRAM Energy_0 (Joules) = 3.779480
Cumulative DRAM Energy_0 (mWh) = 1.049856
Average DRAM Power_0 (Watt) = 3.695711

Cumulative GT Energy_0 (Joules) = 6.621765
Cumulative GT Energy_0 (mWh) = 1.839379
Average GT Power_0 (Watt) = 6.474999
