System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:30:35:819, 158233073355582,    0.131,   89.000, 2800,  45.092,   5.915,   1.643,  25.875,   3.394,   0.943, 91,  0,   3.853,   0.505,   0.140,   6.689,   0.878,   0.244,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:35:941, 158233344079556,    0.254,   79.000, 2800,  44.603,  11.384,   3.162,  25.642,   6.538,   1.816, 91,  0,   3.827,   0.975,   0.271,   6.268,   1.646,   0.457,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:36:064, 158233614550189,    0.376,   82.000, 2800,  44.125,  16.789,   4.664,  25.420,   9.652,   2.681, 89,  0,   3.512,   1.405,   0.390,   6.133,   2.397,   0.666,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:36:171, 158233850523029,    0.483,   81.000, 2800,  44.303,  21.524,   5.979,  25.859,  12.416,   3.449, 90,  0,   3.678,   1.798,   0.499,   6.275,   3.068,   0.852,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:36:278, 158234087960556,    0.591,   76.000, 2800,  44.210,  26.278,   7.299,  25.214,  15.127,   4.202, 90,  0,   3.654,   2.191,   0.609,   6.343,   3.750,   1.042,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:36:386, 158234326129539,    0.699,   71.000, 2900,  43.946,  31.018,   8.616,  24.969,  17.820,   4.950, 90,  0,   3.636,   2.583,   0.718,   6.477,   4.448,   1.236,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:36:495, 158234567334193,    0.808,   69.000, 2900,  43.986,  35.823,   9.951,  25.003,  20.552,   5.709, 90,  0,   3.650,   2.982,   0.828,   6.577,   5.167,   1.435,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:36:605, 158234809760670,    0.918,   58.000, 3000,  42.599,  40.500,  11.250,  23.388,  23.120,   6.422, 88,  0,   3.597,   3.377,   0.938,   6.671,   5.899,   1.639,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:36:618, 158234839102285,    0.931,   70.000, 3000,  41.870,  41.057,  11.405,  22.855,  23.423,   6.507, 89,  0,   3.610,   3.425,   0.951,   7.216,   5.995,   1.665,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.930880
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 41.056702
Cumulative Processor Energy_0 (mWh) = 11.404639
Average Processor Power_0 (Watt) = 44.105265

Cumulative IA Energy_0 (Joules) = 23.423401
Cumulative IA Energy_0 (mWh) = 6.506500
Average IA Power_0 (Watt) = 25.162647

Cumulative DRAM Energy_0 (Joules) = 3.424561
Cumulative DRAM Energy_0 (mWh) = 0.951267
Average DRAM Power_0 (Watt) = 3.678843

Cumulative GT Energy_0 (Joules) = 5.995361
Cumulative GT Energy_0 (mWh) = 1.665378
Average GT Power_0 (Watt) = 6.440532
