System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:30:38:040, 158237976984602,    0.101,   71.000, 3000,  47.107,   4.762,   1.323,  28.398,   2.871,   0.797, 93,  0,   3.578,   0.362,   0.100,   6.302,   0.637,   0.177,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:38:163, 158238248270176,    0.224,   82.000, 2900,  46.688,  10.499,   2.916,  27.557,   6.257,   1.738, 92,  0,   3.924,   0.844,   0.234,   6.449,   1.429,   0.397,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:38:286, 158238519941427,    0.347,   91.000, 2800,  47.235,  16.310,   4.531,  28.508,   9.764,   2.712, 94,  0,   3.919,   1.326,   0.368,   6.179,   2.190,   0.608,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:38:396, 158238763033472,    0.457,   71.000, 2900,  42.981,  21.042,   5.845,  24.586,  12.471,   3.464, 91,  0,   3.445,   1.705,   0.474,   6.041,   2.855,   0.793,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:38:505, 158239004094503,    0.566,   71.000, 2900,  44.545,  25.906,   7.196,  25.502,  15.255,   4.238, 91,  0,   3.721,   2.112,   0.587,   6.601,   3.575,   0.993,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:38:629, 158239278864941,    0.691,   69.000, 2900,  44.169,  31.402,   8.723,  24.921,  18.357,   5.099, 91,  0,   3.649,   2.566,   0.713,   6.580,   4.394,   1.221,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:38:737, 158239515858819,    0.798,   69.000, 2900,  43.947,  36.119,  10.033,  24.960,  21.036,   5.843, 89,  0,   3.649,   2.957,   0.821,   6.613,   5.104,   1.418,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:38:861, 158239789643752,    0.922,   66.000, 3000,  43.604,  41.526,  11.535,  24.509,  24.075,   6.687, 89,  0,   3.775,   3.425,   0.952,   6.545,   5.916,   1.643,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:38:868, 158239806925665,    0.930,   46.000, 3000,  44.613,  41.875,  11.632,  23.503,  24.259,   6.739, 90,  0,   4.250,   3.459,   0.961,   7.260,   5.972,   1.659,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.929872
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 41.875183
Cumulative Processor Energy_0 (mWh) = 11.631995
Average Processor Power_0 (Watt) = 45.033274

Cumulative IA Energy_0 (Joules) = 24.258728
Cumulative IA Energy_0 (mWh) = 6.738536
Average IA Power_0 (Watt) = 26.088243

Cumulative DRAM Energy_0 (Joules) = 3.458740
Cumulative DRAM Energy_0 (mWh) = 0.960761
Average DRAM Power_0 (Watt) = 3.719587

Cumulative GT Energy_0 (Joules) = 5.972351
Cumulative GT Energy_0 (mWh) = 1.658986
Average GT Power_0 (Watt) = 6.422766
