System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:29:39:258, 158108185989407,    0.117,   43.000, 3400,  52.980,   6.204,   1.723,  33.961,   3.977,   1.105, 95,  0,   3.438,   0.403,   0.112,   6.562,   0.768,   0.213,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:39:368, 158108428610455,    0.227,   41.000, 3500,  51.803,  11.896,   3.304,  32.604,   7.559,   2.100, 95,  0,   3.557,   0.793,   0.220,   6.763,   1.512,   0.420,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:39:477, 158108671134292,    0.337,   46.000, 3500,  51.666,  17.571,   4.881,  32.417,  11.120,   3.089, 94,  0,   3.687,   1.198,   0.333,   6.701,   2.248,   0.624,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:39:601, 158108943137940,    0.460,   49.000, 3200,  50.448,  23.786,   6.607,  31.187,  14.962,   4.156, 94,  0,   3.671,   1.651,   0.459,   6.747,   3.079,   0.855,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:39:820, 158109427420880,    0.679,   50.000, 3300,  50.769,  34.921,   9.700,  31.628,  21.899,   6.083, 95,  0,   3.630,   2.447,   0.680,   6.766,   4.563,   1.267,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:39:945, 158109702207327,    0.804,   61.000, 3200,  50.052,  41.150,  11.431,  30.319,  25.672,   7.131, 94,  0,   3.726,   2.911,   0.809,   6.946,   5.427,   1.508,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:40:051, 158109938545441,    0.911,   83.000, 2800,  48.888,  46.383,  12.884,  29.653,  28.846,   8.013, 94,  0,   3.918,   3.330,   0.925,   6.609,   6.135,   1.704,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:40:176, 158110212941295,    1.035,   53.000, 3400,  51.615,  52.797,  14.666,  32.722,  32.913,   9.142, 95,  0,   3.636,   3.782,   1.051,   6.585,   6.953,   1.931,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:40:284, 158110451163567,    1.143,   66.000, 3100,  49.927,  58.184,  16.162,  30.769,  36.232,  10.065, 94,  0,   3.800,   4.192,   1.164,   6.510,   7.655,   2.126,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:40:421, 158110753787880,    1.280,   69.000, 3100,  49.120,  64.916,  18.032,  29.863,  40.325,  11.201, 94,  0,   3.829,   4.717,   1.310,   6.702,   8.574,   2.382,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:40:558, 158111057718875,    1.418,   69.000, 3200,  51.693,  72.031,  20.009,  32.276,  44.768,  12.436, 95,  0,   3.985,   5.265,   1.463,   6.687,   9.494,   2.637,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:40:696, 158111361864243,    1.555,   75.000, 3100,  49.007,  78.782,  21.884,  29.960,  48.895,  13.582, 95,  0,   3.822,   5.792,   1.609,   6.667,  10.413,   2.892,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:40:702, 158111377089869,    1.562,  109.000, 3300,  47.584,  79.110,  21.975,  27.519,  49.085,  13.635, 94,  0,   3.992,   5.819,   1.616,   7.594,  10.465,   2.907,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.562338
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 79.109985
Cumulative Processor Energy_0 (mWh) = 21.974996
Average Processor Power_0 (Watt) = 50.635637

Cumulative IA Energy_0 (Joules) = 49.084778
Cumulative IA Energy_0 (mWh) = 13.634661
Average IA Power_0 (Watt) = 31.417513

Cumulative DRAM Energy_0 (Joules) = 5.819336
Cumulative DRAM Energy_0 (mWh) = 1.616482
Average DRAM Power_0 (Watt) = 3.724761

Cumulative GT Energy_0 (Joules) = 10.465027
Cumulative GT Energy_0 (mWh) = 2.906952
Average GT Power_0 (Watt) = 6.698311
