System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:29:44:352, 158119433601684,    0.108,   78.000, 2900,  49.975,   5.374,   1.493,  31.367,   3.373,   0.937, 96,  0,   3.632,   0.391,   0.108,   6.361,   0.684,   0.190,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:44:478, 158119711688292,    0.233,   54.000, 3000,  42.761,  10.759,   2.989,  23.881,   6.381,   1.772, 90,  0,   3.582,   0.842,   0.234,   6.454,   1.497,   0.416,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:44:600, 158119981860881,    0.356,   24.000, 3000,  43.218,  16.047,   4.458,  24.162,   9.337,   2.594, 89,  0,   3.577,   1.279,   0.355,   6.695,   2.316,   0.643,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:44:878, 158120594542249,    0.633,  117.000, 3000,  44.709,  28.453,   7.904,  25.495,  16.411,   4.559, 90,  0,   3.619,   2.284,   0.634,   6.665,   4.165,   1.157,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:44:999, 158120863619776,    0.755,   53.000, 3000,  44.942,  33.930,   9.425,  25.722,  19.546,   5.429, 91,  0,   3.619,   2.725,   0.757,   6.689,   4.981,   1.383,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:45:108, 158121103678277,    0.864,   47.000, 3100,  43.245,  38.632,  10.731,  23.976,  22.153,   6.154, 91,  0,   3.588,   3.115,   0.865,   6.705,   5.709,   1.586,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:45:217, 158121344080130,    0.973,   48.000, 3000,  44.715,  43.500,  12.083,  25.600,  24.940,   6.928, 90,  0,   3.730,   3.521,   0.978,   6.873,   6.458,   1.794,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:45:356, 158121650389566,    1.112,   59.000, 3000,  45.725,  49.844,  13.845,  26.473,  28.613,   7.948, 95,  0,   3.680,   4.032,   1.120,   6.714,   7.389,   2.053,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:45:477, 158121919210105,    1.233,   60.000, 3000,  46.603,  55.517,  15.422,  27.333,  31.940,   8.872, 93,  0,   3.692,   4.481,   1.245,   6.704,   8.205,   2.279,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:45:617, 158122226560798,    1.372,   66.000, 3100,  45.609,  61.866,  17.185,  26.263,  35.596,   9.888, 92,  0,   3.907,   5.025,   1.396,   6.827,   9.156,   2.543,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:45:739, 158122497956305,    1.495,   69.000, 2800,  45.624,  67.474,  18.743,  26.387,  38.839,  10.789, 91,  0,   3.751,   5.486,   1.524,   6.665,   9.975,   2.771,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:45:864, 158122771584646,    1.619,   56.000, 2900,  41.025,  72.558,  20.155,  21.990,  41.565,  11.546, 88,  0,   3.568,   5.928,   1.647,   6.541,  10.785,   2.996,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:45:866, 158122777653131,    1.622,   36.000, 2900,  40.218,  72.669,  20.186,  18.077,  41.614,  11.560, 88,  0,   3.864,   5.939,   1.650,   6.151,  10.802,   3.001,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.622040
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 72.668518
Cumulative Processor Energy_0 (mWh) = 20.185699
Average Processor Power_0 (Watt) = 44.800695

Cumulative IA Energy_0 (Joules) = 41.614319
Cumulative IA Energy_0 (mWh) = 11.559533
Average IA Power_0 (Watt) = 25.655544

Cumulative DRAM Energy_0 (Joules) = 5.938660
Cumulative DRAM Energy_0 (mWh) = 1.649628
Average DRAM Power_0 (Watt) = 3.661229

Cumulative GT Energy_0 (Joules) = 10.802307
Cumulative GT Energy_0 (mWh) = 3.000641
Average GT Power_0 (Watt) = 6.659705
