System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:28:45:631, 157989778443025,    0.103,   48.000, 3200,  47.603,   4.880,   1.355,  28.431,   2.914,   0.810, 90,  0,   3.449,   0.354,   0.098,   6.588,   0.675,   0.188,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:45:754, 157990048882542,    0.225,   51.000, 3100,  47.592,  10.709,   2.975,  28.335,   6.385,   1.774, 92,  0,   3.785,   0.817,   0.227,   6.870,   1.517,   0.421,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:45:877, 157990321347219,    0.348,   53.000, 3100,  45.022,  16.264,   4.518,  25.896,   9.580,   2.661, 91,  0,   3.678,   1.271,   0.353,   6.838,   2.361,   0.656,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:46:000, 157990593257715,    0.472,   50.000, 3100,  45.700,  21.892,   6.081,  26.013,  12.784,   3.551, 90,  0,   3.710,   1.728,   0.480,   6.794,   3.197,   0.888,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:46:109, 157990832829069,    0.580,   47.000, 3100,  44.997,  26.774,   7.437,  25.968,  15.601,   4.334, 90,  0,   3.619,   2.121,   0.589,   6.742,   3.929,   1.091,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:46:218, 157991073931082,    0.689,   57.000, 3000,  45.014,  31.690,   8.803,  25.744,  18.412,   5.115, 90,  0,   3.815,   2.537,   0.705,   6.809,   4.672,   1.298,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:46:326, 157991311624490,    0.797,   49.000, 3100,  43.664,  36.390,  10.108,  24.326,  21.031,   5.842, 90,  0,   3.651,   2.930,   0.814,   6.721,   5.396,   1.499,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:46:434, 157991550823201,    0.905,   31.000, 2200,  37.670,  40.471,  11.242,  19.058,  23.096,   6.416, 86,  0,   2.891,   3.243,   0.901,   6.410,   6.090,   1.692,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:46:435, 157991554415959,    0.907,   28.000, 2200,  36.985,  40.531,  11.259,  12.904,  23.117,   6.421, 86,  0,   4.201,   3.250,   0.903,   6.902,   6.101,   1.695,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.906839
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 40.531189
Cumulative Processor Energy_0 (mWh) = 11.258664
Average Processor Power_0 (Watt) = 44.695035

Cumulative IA Energy_0 (Joules) = 23.116821
Cumulative IA Energy_0 (mWh) = 6.421339
Average IA Power_0 (Watt) = 25.491656

Cumulative DRAM Energy_0 (Joules) = 3.250244
Cumulative DRAM Energy_0 (mWh) = 0.902846
Average DRAM Power_0 (Watt) = 3.584148

Cumulative GT Energy_0 (Joules) = 6.101318
Cumulative GT Energy_0 (mWh) = 1.694811
Average GT Power_0 (Watt) = 6.728118
