System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:28:51:066, 158001778536658,    0.105,   62.000, 3100,  50.951,   5.356,   1.488,  32.235,   3.389,   0.941, 94,  0,   3.552,   0.373,   0.104,   6.366,   0.669,   0.186,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:51:205, 158002085640779,    0.244,   78.000, 2900,  48.947,  12.164,   3.379,  29.868,   7.543,   2.095, 93,  0,   3.861,   0.910,   0.253,   6.443,   1.565,   0.435,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:51:316, 158002330104643,    0.355,   61.000, 2900,  43.104,  16.936,   4.705,  23.803,  10.178,   2.827, 93,  0,   3.747,   1.325,   0.368,   6.756,   2.313,   0.643,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:51:488, 158002709291724,    0.527,   80.000, 2900,  45.780,  24.798,   6.888,  26.838,  14.787,   4.108, 90,  0,   3.740,   1.967,   0.547,   6.356,   3.405,   0.946,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:51:596, 158002948332549,    0.635,   55.000, 3000,  42.458,  29.395,   8.165,  23.349,  17.315,   4.810, 90,  0,   3.706,   2.369,   0.658,   6.707,   4.131,   1.148,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:51:719, 158003220431056,    0.758,   54.000, 3000,  44.098,  34.829,   9.675,  24.893,  20.383,   5.662, 90,  0,   3.762,   2.832,   0.787,   6.734,   4.961,   1.378,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:51:828, 158003460221411,    0.867,   47.000, 3000,  43.499,  39.553,  10.987,  24.067,  22.997,   6.388, 89,  0,   3.656,   3.229,   0.897,   6.817,   5.701,   1.584,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:51:951, 158003733339260,    0.990,   21.000, 2200,  32.547,  43.579,  12.105,  14.103,  24.741,   6.873, 86,  0,   2.575,   3.548,   0.986,   6.255,   6.475,   1.799,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:51:956, 158003743929833,    0.995,   14.000, 2200,  22.536,  43.687,  12.135,  10.638,  24.792,   6.887, 85,  0,   1.387,   3.555,   0.987,   5.166,   6.500,   1.806,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.995244
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.687012
Cumulative Processor Energy_0 (mWh) = 12.135281
Average Processor Power_0 (Watt) = 43.895773

Cumulative IA Energy_0 (Joules) = 24.792053
Cumulative IA Energy_0 (mWh) = 6.886681
Average IA Power_0 (Watt) = 24.910524

Cumulative DRAM Energy_0 (Joules) = 3.554504
Cumulative DRAM Energy_0 (mWh) = 0.987362
Average DRAM Power_0 (Watt) = 3.571490

Cumulative GT Energy_0 (Joules) = 6.499817
Cumulative GT Energy_0 (mWh) = 1.805505
Average GT Power_0 (Watt) = 6.530877
