System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:27:13:548, 157786458638163,    0.115,   45.000, 3100,  45.863,   5.290,   1.469,  27.090,   3.125,   0.868, 90,  0,   3.443,   0.397,   0.110,   6.527,   0.753,   0.209,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:13:688, 157786767113399,    0.255,   63.000, 3100,  46.883,  11.840,   3.289,  27.594,   6.980,   1.939, 90,  0,   3.825,   0.932,   0.259,   6.652,   1.682,   0.467,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:13:796, 157787006173269,    0.363,   46.000, 3100,  44.565,  16.665,   4.629,  25.325,   9.722,   2.700, 89,  0,   3.628,   1.324,   0.368,   6.803,   2.419,   0.672,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:13:922, 157787284503843,    0.489,   52.000, 3100,  45.245,  22.368,   6.213,  26.065,  13.007,   3.613, 90,  0,   3.658,   1.785,   0.496,   6.717,   3.266,   0.907,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:14:032, 157787525548213,    0.599,   51.000, 3000,  44.222,  27.196,   7.554,  24.933,  15.729,   4.369, 89,  0,   3.686,   2.188,   0.608,   6.848,   4.013,   1.115,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:14:155, 157787798466112,    0.722,   59.000, 3000,  45.383,  32.805,   9.113,  26.113,  18.957,   5.266, 89,  0,   3.838,   2.662,   0.740,   6.573,   4.826,   1.340,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:14:279, 157788071671598,    0.846,   42.000, 2200,  39.498,  37.693,  10.470,  20.102,  21.444,   5.957, 87,  0,   3.496,   3.095,   0.860,   6.830,   5.671,   1.575,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:14:279, 157788073383543,    0.847,   10.000, 2200,  31.174,  37.717,  10.477,   7.636,  21.450,   5.958, 87,  0,   2.519,   3.097,   0.860,   4.251,   5.674,   1.576,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.846656
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 37.716797
Cumulative Processor Energy_0 (mWh) = 10.476888
Average Processor Power_0 (Watt) = 44.547946

Cumulative IA Energy_0 (Joules) = 21.450012
Cumulative IA Energy_0 (mWh) = 5.958337
Average IA Power_0 (Watt) = 25.334972

Cumulative DRAM Energy_0 (Joules) = 3.096802
Cumulative DRAM Energy_0 (mWh) = 0.860223
Average DRAM Power_0 (Watt) = 3.657685

Cumulative GT Energy_0 (Joules) = 5.674011
Cumulative GT Energy_0 (mWh) = 1.576114
Average GT Power_0 (Watt) = 6.701671
