System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:27:15:619, 157791030198945,    0.112,   52.000, 3100,  46.462,   5.199,   1.444,  27.522,   3.080,   0.855, 91,  0,   3.571,   0.400,   0.111,   6.441,   0.721,   0.200,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:15:743, 157791303771008,    0.236,   69.000, 3000,  46.404,  10.949,   3.041,  27.080,   6.435,   1.787, 91,  0,   4.118,   0.910,   0.253,   6.620,   1.541,   0.428,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:15:865, 157791574138361,    0.358,   76.000, 2900,  46.457,  16.637,   4.621,  27.238,   9.770,   2.714, 91,  0,   4.443,   1.454,   0.404,   6.581,   2.347,   0.652,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:16:002, 157791877106822,    0.495,   69.000, 2900,  44.472,  22.739,   6.316,  25.019,  13.203,   3.668, 89,  0,   4.185,   2.028,   0.563,   6.827,   3.284,   0.912,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:16:124, 157792145531461,    0.617,   73.000, 2900,  44.273,  28.122,   7.812,  25.093,  16.254,   4.515, 90,  0,   3.882,   2.500,   0.694,   6.459,   4.069,   1.130,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:16:248, 157792420923984,    0.742,   71.000, 2900,  44.559,  33.679,   9.355,  24.936,  19.364,   5.379, 90,  0,   4.210,   3.025,   0.840,   6.777,   4.914,   1.365,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:16:371, 157792691255295,    0.864,   63.000, 3000,  43.864,  39.050,  10.847,  24.589,  22.374,   6.215, 89,  0,   4.032,   3.519,   0.977,   6.795,   5.746,   1.596,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:16:494, 157792962517545,    0.987,   68.000, 3200,  50.049,  45.198,  12.555,  30.844,  26.163,   7.268, 96,  0,   4.101,   4.023,   1.117,   6.516,   6.546,   1.818,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:16:535, 157793053408661,    1.028,  286.000, 2700,  37.166,  46.728,  12.980,  17.759,  26.894,   7.471, 87,  0,   3.315,   4.159,   1.155,   7.028,   6.836,   1.899,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.028207
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 46.728149
Cumulative Processor Energy_0 (mWh) = 12.980042
Average Processor Power_0 (Watt) = 45.446227

Cumulative IA Energy_0 (Joules) = 26.894470
Cumulative IA Energy_0 (mWh) = 7.470686
Average IA Power_0 (Watt) = 26.156657

Cumulative DRAM Energy_0 (Joules) = 4.159058
Cumulative DRAM Energy_0 (mWh) = 1.155294
Average DRAM Power_0 (Watt) = 4.044960

Cumulative GT Energy_0 (Joules) = 6.835693
Cumulative GT Energy_0 (mWh) = 1.898804
Average GT Power_0 (Watt) = 6.648166
