System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:27:21:008, 157802929231532,    0.107,   52.000, 3100,  45.782,   4.892,   1.359,  26.919,   2.876,   0.799, 90,  0,   3.406,   0.364,   0.101,   6.440,   0.688,   0.191,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:21:117, 157803169272746,    0.216,   59.000, 3000,  46.164,   9.910,   2.753,  27.256,   5.839,   1.622, 90,  0,   3.727,   0.769,   0.214,   6.656,   1.412,   0.392,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:21:225, 157803408432699,    0.324,   46.000, 3100,  43.332,  14.604,   4.057,  23.879,   8.426,   2.340, 88,  0,   3.543,   1.153,   0.320,   6.710,   2.138,   0.594,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:21:347, 157803678122070,    0.446,   52.000, 3100,  45.771,  20.194,   5.610,  26.844,  11.704,   3.251, 90,  0,   3.668,   1.601,   0.445,   6.502,   2.933,   0.815,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:21:472, 157803953392129,    0.571,   51.000, 3000,  44.564,  25.750,   7.153,  25.056,  14.828,   4.119, 89,  0,   3.726,   2.065,   0.574,   6.875,   3.790,   1.053,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:21:595, 157804226745801,    0.694,   67.000, 3000,  47.615,  31.645,   8.790,  28.486,  18.355,   5.099, 94,  0,   3.808,   2.537,   0.705,   6.890,   4.643,   1.290,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:21:766, 157804604020821,    0.865,   72.000, 2900,  44.997,  39.333,  10.926,  25.983,  22.794,   6.332, 89,  0,   3.867,   3.198,   0.888,   6.388,   5.734,   1.593,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:21:776, 157804625424175,    0.875,   44.000, 2900,  41.393,  39.735,  11.037,  20.124,  22.989,   6.386, 88,  0,   3.772,   3.234,   0.898,   7.228,   5.804,   1.612,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.875046
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 39.734619
Cumulative Processor Energy_0 (mWh) = 11.037394
Average Processor Power_0 (Watt) = 45.408594

Cumulative IA Energy_0 (Joules) = 22.989319
Cumulative IA Energy_0 (mWh) = 6.385922
Average IA Power_0 (Watt) = 26.272119

Cumulative DRAM Energy_0 (Joules) = 3.234131
Cumulative DRAM Energy_0 (mWh) = 0.898370
Average DRAM Power_0 (Watt) = 3.695954

Cumulative GT Energy_0 (Joules) = 5.804260
Cumulative GT Energy_0 (mWh) = 1.612295
Average GT Power_0 (Watt) = 6.633090
