System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:13:431, 158713561857698,    0.113,   42.000, 3700,  52.636,   5.961,   1.656,  33.816,   3.830,   1.064, 93,  0,   3.420,   0.387,   0.108,   6.537,   0.740,   0.206,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:13:538, 158713798026192,    0.220,   42.000, 3500,  50.458,  11.358,   3.155,  31.178,   7.165,   1.990, 94,  0,   3.596,   0.772,   0.214,   6.801,   1.468,   0.408,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:13:646, 158714037424249,    0.329,   43.000, 3400,  51.495,  16.942,   4.706,  32.337,  10.671,   2.964, 95,  0,   3.584,   1.161,   0.322,   6.778,   2.203,   0.612,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:13:769, 158714308187547,    0.451,   47.000, 3400,  50.891,  23.182,   6.440,  31.583,  14.544,   4.040, 95,  0,   3.628,   1.606,   0.446,   6.788,   3.035,   0.843,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:13:892, 158714580182421,    0.574,   48.000, 3200,  51.601,  29.539,   8.205,  32.187,  18.509,   5.141, 95,  0,   3.700,   2.061,   0.573,   6.866,   3.881,   1.078,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:14:014, 158714849729183,    0.697,   48.000, 3300,  50.929,  35.756,   9.932,  31.623,  22.369,   6.214, 96,  0,   3.617,   2.503,   0.695,   6.887,   4.722,   1.312,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:14:122, 158715089335809,    0.805,   42.000, 3300,  48.926,  41.065,  11.407,  29.406,  25.560,   7.100, 94,  0,   3.618,   2.895,   0.804,   6.837,   5.464,   1.518,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:14:233, 158715332724407,    0.915,   48.000, 3300,  50.622,  46.645,  12.957,  31.135,  28.992,   8.053, 95,  0,   3.629,   3.295,   0.915,   7.076,   6.244,   1.734,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:14:357, 158715607433105,    1.040,   65.000, 2900,  49.592,  52.815,  14.671,  30.391,  32.773,   9.104, 96,  0,   3.962,   3.788,   1.052,   6.728,   7.081,   1.967,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:14:557, 158716048378519,    1.239,  111.000, 3000,  47.191,  62.240,  17.289,  27.670,  38.299,  10.639, 95,  0,   4.143,   4.616,   1.282,   6.743,   8.427,   2.341,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:14:666, 158716288545957,    1.348,   31.000, 3000,  46.713,  67.320,  18.700,  27.953,  41.340,  11.483, 95,  0,   3.246,   4.969,   1.380,   6.350,   9.118,   2.533,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:14:745, 158716464977679,    1.428,   98.000, 3700,  48.847,  71.224,  19.784,  31.493,  43.856,  12.182, 90,  0,   1.849,   5.117,   1.421,   5.536,   9.560,   2.656,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.428072
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 71.223633
Cumulative Processor Energy_0 (mWh) = 19.784342
Average Processor Power_0 (Watt) = 49.873991

Cumulative IA Energy_0 (Joules) = 43.856018
Cumulative IA Energy_0 (mWh) = 12.182227
Average IA Power_0 (Watt) = 30.709956

Cumulative DRAM Energy_0 (Joules) = 5.116577
Cumulative DRAM Energy_0 (mWh) = 1.421271
Average DRAM Power_0 (Watt) = 3.582857

Cumulative GT Energy_0 (Joules) = 9.560364
Cumulative GT Energy_0 (mWh) = 2.655657
Average GT Power_0 (Watt) = 6.694597
