System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:27:523, 158744676774628,    0.116,   61.000, 2900,  45.012,   5.220,   1.450,  26.201,   3.038,   0.844, 91,  0,   3.547,   0.411,   0.114,   6.356,   0.737,   0.205,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:27:632, 158744918832215,    0.226,   53.000, 3000,  43.756,  10.017,   2.782,  24.141,   5.685,   1.579, 91,  0,   3.752,   0.823,   0.229,   6.939,   1.498,   0.416,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:27:740, 158745157587656,    0.334,   44.000, 3000,  43.224,  14.690,   4.081,  24.055,   8.286,   2.302, 90,  0,   3.566,   1.208,   0.336,   6.767,   2.230,   0.619,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:27:864, 158745430518948,    0.457,   55.000, 3000,  43.834,  20.109,   5.586,  24.929,  11.367,   3.158, 90,  0,   3.608,   1.654,   0.460,   6.677,   3.055,   0.849,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:27:972, 158745669303287,    0.565,   48.000, 3100,  44.534,  24.925,   6.924,  24.985,  14.070,   3.908, 91,  0,   3.731,   2.058,   0.572,   7.076,   3.820,   1.061,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:28:081, 158745909797639,    0.674,   45.000, 3100,  45.483,  29.879,   8.300,  26.139,  16.917,   4.699, 91,  0,   3.610,   2.451,   0.681,   6.838,   4.565,   1.268,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:28:207, 158746187556814,    0.800,   53.000, 3000,  45.338,  35.582,   9.884,  25.765,  20.158,   5.599, 91,  0,   3.718,   2.919,   0.811,   6.945,   5.439,   1.511,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:28:316, 158746430240936,    0.910,   52.000, 3000,  44.278,  40.449,  11.236,  24.975,  22.903,   6.362, 91,  0,   3.684,   3.324,   0.923,   6.772,   6.183,   1.717,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:28:426, 158746672858485,    1.020,   58.000, 3000,  45.726,  45.473,  12.631,  26.454,  25.810,   7.169, 90,  0,   3.873,   3.749,   1.041,   6.674,   6.916,   1.921,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:28:549, 158746943504621,    1.143,   60.000, 3000,  45.933,  51.103,  14.195,  26.968,  29.115,   8.088, 91,  0,   3.823,   4.218,   1.172,   6.567,   7.721,   2.145,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:28:672, 158747214538449,    1.265,   64.000, 3000,  45.699,  56.713,  15.754,  26.630,  32.384,   8.996, 93,  0,   3.682,   4.670,   1.297,   6.581,   8.529,   2.369,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:28:695, 158747265785497,    1.289,   75.000, 2900,  50.186,  57.878,  16.077,  31.241,  33.109,   9.197, 94,  0,   3.776,   4.757,   1.321,   6.456,   8.679,   2.411,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.288519
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 57.877686
Cumulative Processor Energy_0 (mWh) = 16.077135
Average Processor Power_0 (Watt) = 44.917978

Cumulative IA Energy_0 (Joules) = 33.108948
Cumulative IA Energy_0 (mWh) = 9.196930
Average IA Power_0 (Watt) = 25.695343

Cumulative DRAM Energy_0 (Joules) = 4.757385
Cumulative DRAM Energy_0 (mWh) = 1.321496
Average DRAM Power_0 (Watt) = 3.692133

Cumulative GT Energy_0 (Joules) = 8.678772
Cumulative GT Energy_0 (mWh) = 2.410770
Average GT Power_0 (Watt) = 6.735461
