System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:15:006, 158717040129196,    0.110,   53.000, 3300,  49.112,   5.422,   1.506,  30.046,   3.317,   0.921, 95,  0,   3.586,   0.396,   0.110,   6.801,   0.751,   0.209,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:15:130, 158717313571467,    0.234,   57.000, 3100,  49.370,  11.536,   3.204,  29.722,   6.998,   1.944, 93,  0,   3.744,   0.860,   0.239,   7.003,   1.618,   0.449,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:15:253, 158717586416850,    0.358,   52.000, 3000,  46.732,  17.311,   4.809,  27.173,  10.356,   2.877, 93,  0,   3.700,   1.317,   0.366,   6.851,   2.465,   0.685,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:15:378, 158717860861417,    0.482,   61.000, 2900,  47.604,  23.228,   6.452,  28.096,  13.848,   3.847, 92,  0,   4.139,   1.831,   0.509,   6.929,   3.326,   0.924,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:15:530, 158718197173018,    0.634,   76.000, 2900,  43.749,  29.891,   8.303,  24.483,  17.577,   4.882, 91,  0,   3.814,   2.412,   0.670,   6.775,   4.358,   1.211,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:15:654, 158718470990996,    0.758,   49.000, 3000,  43.252,  35.255,   9.793,  23.931,  20.545,   5.707, 91,  0,   3.678,   2.868,   0.797,   6.783,   5.199,   1.444,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:15:764, 158718712773339,    0.868,   48.000, 3000,  43.703,  40.041,  11.122,  24.311,  23.207,   6.446, 89,  0,   3.600,   3.262,   0.906,   6.776,   5.941,   1.650,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:15:871, 158718949590569,    0.975,   51.000, 3000,  44.314,  44.793,  12.443,  24.835,  25.870,   7.186, 90,  0,   3.804,   3.670,   1.020,   7.022,   6.694,   1.859,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:16:010, 158719256896133,    1.114,   62.000, 3000,  47.229,  51.367,  14.269,  27.483,  29.695,   8.249, 95,  0,   3.933,   4.218,   1.172,   7.189,   7.695,   2.137,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:16:164, 158719597428118,    1.269,   99.000, 2800,  47.236,  58.652,  16.292,  28.079,  34.026,   9.452, 94,  0,   3.946,   4.826,   1.341,   6.607,   8.714,   2.420,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:16:287, 158719867885801,    1.391,   56.000, 2900,  41.899,  63.784,  17.718,  22.462,  36.777,  10.216, 88,  0,   3.604,   5.268,   1.463,   6.748,   9.540,   2.650,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:16:287, 158719869613295,    1.392,   22.000, 2900,  48.602,  63.822,  17.728,  24.652,  36.797,  10.221, 88,  0,   4.915,   5.272,   1.464,   4.993,   9.544,   2.651,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.391866
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 63.821960
Cumulative Processor Energy_0 (mWh) = 17.728322
Average Processor Power_0 (Watt) = 45.853521

Cumulative IA Energy_0 (Joules) = 36.796570
Cumulative IA Energy_0 (mWh) = 10.221269
Average IA Power_0 (Watt) = 26.436861

Cumulative DRAM Energy_0 (Joules) = 5.271606
Cumulative DRAM Energy_0 (mWh) = 1.464335
Average DRAM Power_0 (Watt) = 3.787438

Cumulative GT Energy_0 (Joules) = 9.544250
Cumulative GT Energy_0 (mWh) = 2.651181
Average GT Power_0 (Watt) = 6.857162
