System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:16:564, 158720480579814,    0.106,   51.000, 3000,  44.359,   4.711,   1.309,  25.593,   2.718,   0.755, 89,  0,   3.409,   0.362,   0.101,   6.428,   0.683,   0.190,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:16:675, 158720725295148,    0.217,   55.000, 3000,  44.927,   9.690,   2.692,  25.576,   5.552,   1.542, 90,  0,   3.760,   0.779,   0.216,   6.737,   1.429,   0.397,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:16:782, 158720961527605,    0.324,   47.000, 3000,  43.637,  14.359,   3.988,  24.604,   8.185,   2.274, 89,  0,   3.604,   1.164,   0.323,   6.546,   2.130,   0.592,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:16:892, 158721204709636,    0.434,   48.000, 3000,  43.275,  19.125,   5.312,  24.158,  10.846,   3.013, 89,  0,   3.581,   1.559,   0.433,   6.691,   2.867,   0.796,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:17:000, 158721442630043,    0.542,   48.000, 3100,  44.431,  23.912,   6.642,  25.227,  13.564,   3.768, 90,  0,   3.627,   1.950,   0.542,   6.695,   3.588,   0.997,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:17:109, 158721683131820,    0.651,   54.000, 3000,  46.451,  28.972,   8.048,  26.847,  16.488,   4.580, 91,  0,   3.756,   2.359,   0.655,   7.006,   4.351,   1.209,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:17:217, 158721922435484,    0.759,   55.000, 3000,  43.876,  33.727,   9.369,  24.755,  19.171,   5.325, 91,  0,   3.650,   2.754,   0.765,   6.776,   5.085,   1.413,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:17:402, 158722330236784,    0.944,   82.000, 2900,  47.711,  42.539,  11.816,  28.148,  24.370,   6.769, 92,  0,   4.152,   3.521,   0.978,   6.791,   6.340,   1.761,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:17:542, 158722639012960,    1.084,   66.000, 2900,  43.616,  48.638,  13.511,  23.928,  27.716,   7.699, 89,  0,   3.877,   4.063,   1.129,   7.035,   7.323,   2.034,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:17:666, 158722912482426,    1.208,   49.000, 3000,  42.580,  53.912,  14.976,  23.058,  30.572,   8.492, 89,  0,   3.668,   4.518,   1.255,   6.987,   8.189,   2.275,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:17:774, 158723153186693,    1.317,   52.000, 3000,  43.811,  58.688,  16.302,  24.493,  33.242,   9.234, 90,  0,   3.647,   4.915,   1.365,   6.837,   8.934,   2.482,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:17:784, 158723173364965,    1.326,   53.000, 3000,  43.352,  59.084,  16.412,  24.992,  33.470,   9.297, 90,  0,   3.720,   4.949,   1.375,   6.572,   8.994,   2.498,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.325747
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 59.084229
Cumulative Processor Energy_0 (mWh) = 16.412286
Average Processor Power_0 (Watt) = 44.566743

Cumulative IA Energy_0 (Joules) = 33.470154
Cumulative IA Energy_0 (mWh) = 9.297265
Average IA Power_0 (Watt) = 25.246259

Cumulative DRAM Energy_0 (Joules) = 4.949219
Cumulative DRAM Energy_0 (mWh) = 1.374783
Average DRAM Power_0 (Watt) = 3.733155

Cumulative GT Energy_0 (Joules) = 8.994324
Cumulative GT Energy_0 (mWh) = 2.498423
Average GT Power_0 (Watt) = 6.784344
