System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:19:618, 158727223554181,    0.115,   50.000, 3200,  47.148,   5.421,   1.506,  27.986,   3.218,   0.894, 92,  0,   3.533,   0.406,   0.113,   6.770,   0.778,   0.216,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:19:741, 158727494649296,    0.238,   52.000, 3100,  46.575,  11.140,   3.094,  27.257,   6.564,   1.823, 91,  0,   3.651,   0.854,   0.237,   6.762,   1.609,   0.447,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:19:865, 158727768201785,    0.362,   69.000, 2900,  49.597,  17.284,   4.801,  30.116,  10.296,   2.860, 94,  0,   4.011,   1.351,   0.375,   6.801,   2.451,   0.681,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:20:020, 158728110217644,    0.517,   84.000, 2800,  47.190,  24.594,   6.832,  27.906,  14.618,   4.061, 94,  0,   4.191,   2.000,   0.556,   6.549,   3.466,   0.963,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:20:160, 158728421508493,    0.658,   80.000, 3000,  48.693,  31.459,   8.739,  29.200,  18.735,   5.204, 94,  0,   4.230,   2.597,   0.721,   6.831,   4.429,   1.230,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:20:338, 158728813861992,    0.835,   86.000, 2600,  43.209,  39.137,  10.871,  24.011,  23.002,   6.389, 91,  0,   3.893,   3.289,   0.914,   6.512,   5.586,   1.552,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:20:500, 158729171938159,    0.997,   75.000, 2700,  42.340,  46.003,  12.779,  23.566,  26.823,   7.451, 90,  0,   4.133,   3.959,   1.100,   6.166,   6.586,   1.829,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:20:656, 158729515225180,    1.153,  112.000, 2700,  43.957,  52.837,  14.677,  24.788,  30.677,   8.521, 91,  0,   4.261,   4.621,   1.284,   6.565,   7.607,   2.113,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:20:779, 158729786597075,    1.276,   65.000, 2800,  42.074,  58.008,  16.113,  22.743,  33.472,   9.298, 89,  0,   4.046,   5.119,   1.422,   6.649,   8.424,   2.340,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:20:902, 158730059297401,    1.399,   75.000, 2800,  43.421,  63.371,  17.603,  23.947,  36.430,  10.119, 90,  0,   4.121,   5.628,   1.563,   6.643,   9.244,   2.568,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:21:025, 158730330210777,    1.522,   65.000, 2900,  43.495,  68.708,  19.086,  24.579,  39.445,  10.957, 89,  0,   3.709,   6.083,   1.690,   6.646,  10.060,   2.794,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:21:147, 158730599551371,    1.644,   50.000, 2900,  42.441,  73.885,  20.524,  23.253,  42.282,  11.745, 89,  0,   3.601,   6.522,   1.812,   6.709,  10.878,   3.022,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:21:171, 158730653175165,    1.668,   74.000, 3000,  42.106,  74.908,  20.808,  21.440,  42.803,  11.890, 90,  0,   3.544,   6.608,   1.836,   7.042,  11.049,   3.069,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.668248
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 74.907532
Cumulative Processor Energy_0 (mWh) = 20.807648
Average Processor Power_0 (Watt) = 44.901917

Cumulative IA Energy_0 (Joules) = 42.802673
Cumulative IA Energy_0 (mWh) = 11.889631
Average IA Power_0 (Watt) = 25.657261

Cumulative DRAM Energy_0 (Joules) = 6.608032
Cumulative DRAM Energy_0 (mWh) = 1.835565
Average DRAM Power_0 (Watt) = 3.961061

Cumulative GT Energy_0 (Joules) = 11.049072
Cumulative GT Energy_0 (mWh) = 3.069187
Average GT Power_0 (Watt) = 6.623159
