System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:22:906, 158734483543200,    0.117,   58.000, 3000,  45.435,   5.330,   1.481,  26.671,   3.129,   0.869, 91,  0,   3.489,   0.409,   0.114,   6.500,   0.763,   0.212,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:23:016, 158734728076614,    0.228,   50.000, 3000,  44.088,  10.213,   2.837,  24.584,   5.851,   1.625, 89,  0,   3.660,   0.815,   0.226,   6.903,   1.527,   0.424,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:23:125, 158734968089827,    0.337,   49.000, 3000,  44.368,  15.035,   4.177,  24.810,   8.548,   2.375, 89,  0,   3.690,   1.216,   0.338,   6.922,   2.279,   0.633,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:23:250, 158735242432218,    0.461,   81.000, 2900,  48.398,  21.049,   5.847,  29.178,  12.174,   3.382, 92,  0,   3.887,   1.699,   0.472,   6.737,   3.116,   0.866,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:23:359, 158735485033266,    0.571,   48.000, 3000,  43.595,  25.839,   7.177,  24.669,  14.884,   4.134, 90,  0,   3.669,   2.102,   0.584,   6.395,   3.819,   1.061,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:23:486, 158735763289785,    0.697,   62.000, 3000,  46.031,  31.640,   8.789,  26.727,  18.252,   5.070, 92,  0,   3.960,   2.601,   0.722,   6.710,   4.665,   1.296,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:23:611, 158736040641943,    0.823,   60.000, 3000,  43.784,  37.140,  10.317,  24.391,  21.316,   5.921, 90,  0,   3.750,   3.072,   0.853,   6.722,   5.509,   1.530,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:23:736, 158736315455868,    0.947,   52.000, 3000,  43.936,  42.608,  11.836,  24.821,  24.405,   6.779, 90,  0,   3.702,   3.533,   0.981,   6.767,   6.351,   1.764,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:23:843, 158736553434208,    1.055,   53.000, 3000,  45.119,  47.471,  13.186,  25.786,  27.185,   7.551, 90,  0,   3.743,   3.936,   1.093,   6.745,   7.078,   1.966,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:23:954, 158736796116954,    1.165,   50.000, 3000,  43.846,  52.290,  14.525,  24.833,  29.914,   8.309, 89,  0,   3.535,   4.325,   1.201,   6.536,   7.797,   2.166,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:24:063, 158737038847412,    1.275,   50.000, 3000,  43.973,  57.124,  15.868,  24.648,  32.624,   9.062, 90,  0,   3.688,   4.730,   1.314,   6.817,   8.546,   2.374,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:24:072, 158737058288983,    1.283,  102.000, 3000,  38.832,  57.466,  15.963,  22.501,  32.822,   9.117, 89,  0,   3.542,   4.761,   1.323,   7.202,   8.609,   2.391,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.283403
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 57.465881
Cumulative Processor Energy_0 (mWh) = 15.962745
Average Processor Power_0 (Watt) = 44.776176

Cumulative IA Energy_0 (Joules) = 32.821777
Cumulative IA Energy_0 (mWh) = 9.117160
Average IA Power_0 (Watt) = 25.574022

Cumulative DRAM Energy_0 (Joules) = 4.761230
Cumulative DRAM Energy_0 (mWh) = 1.322564
Average DRAM Power_0 (Watt) = 3.709848

Cumulative GT Energy_0 (Joules) = 8.609375
Cumulative GT Energy_0 (mWh) = 2.391493
Average GT Power_0 (Watt) = 6.708239
