System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:24:373, 158737722861450,    0.116,   69.000, 3000,  47.917,   5.582,   1.551,  29.106,   3.391,   0.942, 95,  0,   3.779,   0.440,   0.122,   6.514,   0.759,   0.211,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:24:512, 158738029660734,    0.255,   64.000, 2900,  44.372,  11.748,   3.263,  25.194,   6.891,   1.914, 89,  0,   3.713,   0.956,   0.266,   6.578,   1.673,   0.465,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:24:637, 158738305508005,    0.380,   44.000, 3000,  41.853,  16.976,   4.716,  23.164,   9.785,   2.718, 90,  0,   3.179,   1.353,   0.376,   6.428,   2.476,   0.688,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:24:745, 158738543369224,    0.488,   54.000, 3100,  45.929,  21.924,   6.090,  26.533,  12.644,   3.512, 91,  0,   3.749,   1.757,   0.488,   6.793,   3.208,   0.891,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:24:854, 158738783888494,    0.597,   47.000, 3000,  44.366,  26.757,   7.432,  24.806,  15.346,   4.263, 90,  0,   3.676,   2.157,   0.599,   6.971,   3.967,   1.102,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:24:964, 158739026789443,    0.707,   47.000, 3000,  44.992,  31.706,   8.807,  25.536,  18.155,   5.043, 91,  0,   3.732,   2.568,   0.713,   6.935,   4.730,   1.314,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:25:102, 158739331583770,    0.845,   62.000, 3000,  44.555,  37.857,  10.516,  25.156,  21.628,   6.008, 90,  0,   3.704,   3.079,   0.855,   6.912,   5.684,   1.579,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:25:211, 158739572800542,    0.954,   55.000, 3000,  46.868,  42.977,  11.938,  27.394,  24.620,   6.839, 94,  0,   3.895,   3.505,   0.974,   6.934,   6.442,   1.789,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:25:394, 158739978081262,    1.138,   72.000, 2900,  47.839,  51.758,  14.377,  28.162,  29.789,   8.275, 90,  0,   3.828,   4.207,   1.169,   7.011,   7.729,   2.147,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:25:534, 158740285808693,    1.277,   82.000, 2800,  45.991,  58.167,  16.158,  26.834,  33.529,   9.314, 92,  0,   3.991,   4.764,   1.323,   6.659,   8.657,   2.405,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:25:658, 158740559456386,    1.401,   65.000, 2900,  42.965,  63.492,  17.637,  23.753,  36.473,  10.131, 91,  0,   3.897,   5.247,   1.457,   6.602,   9.475,   2.632,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:25:675, 158740597483257,    1.418,   47.000, 2900,  40.993,  64.198,  17.833,  22.043,  36.853,  10.237, 89,  0,   3.728,   5.311,   1.475,   6.663,   9.590,   2.664,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.418403
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 64.198364
Cumulative Processor Energy_0 (mWh) = 17.832879
Average Processor Power_0 (Watt) = 45.261021

Cumulative IA Energy_0 (Joules) = 36.852600
Cumulative IA Energy_0 (mWh) = 10.236833
Average IA Power_0 (Watt) = 25.981757

Cumulative DRAM Energy_0 (Joules) = 5.310913
Cumulative DRAM Energy_0 (mWh) = 1.475254
Average DRAM Power_0 (Watt) = 3.744291

Cumulative GT Energy_0 (Joules) = 9.589600
Cumulative GT Energy_0 (mWh) = 2.663778
Average GT Power_0 (Watt) = 6.760843
