System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:25:968, 158741246133180,    0.117,   64.000, 2900,  46.637,   5.454,   1.515,  27.693,   3.238,   0.900, 93,  0,   3.600,   0.421,   0.117,   6.453,   0.755,   0.210,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:26:138, 158741619979548,    0.286,   79.000, 2800,  46.742,  13.368,   3.713,  28.062,   7.990,   2.219, 91,  0,   3.756,   1.057,   0.294,   6.268,   1.816,   0.504,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:26:276, 158741924194440,    0.424,   66.000, 2900,  42.838,  19.270,   5.353,  23.334,  11.204,   3.112, 89,  0,   3.715,   1.569,   0.436,   6.861,   2.761,   0.767,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:26:386, 158742166632398,    0.534,   59.000, 2900,  43.491,  24.045,   6.679,  24.011,  13.841,   3.845, 90,  0,   3.871,   1.994,   0.554,   6.831,   3.511,   0.975,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:26:509, 158742441394216,    0.658,   69.000, 2900,  44.987,  29.643,   8.234,  25.506,  17.015,   4.726, 90,  0,   3.997,   2.491,   0.692,   6.984,   4.380,   1.217,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:26:634, 158742714797841,    0.782,   54.000, 3000,  43.397,  35.017,   9.727,  23.936,  19.979,   5.550, 88,  0,   3.723,   2.952,   0.820,   6.891,   5.233,   1.454,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:26:759, 158742990970289,    0.907,   53.000, 3000,  44.049,  40.526,  11.257,  24.719,  23.070,   6.408, 89,  0,   3.702,   3.415,   0.949,   6.851,   6.090,   1.692,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:26:884, 158743266564781,    1.032,   51.000, 3000,  44.307,  46.056,  12.793,  24.683,  26.151,   7.264, 89,  0,   3.759,   3.884,   1.079,   7.021,   6.967,   1.935,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:26:994, 158743509592847,    1.142,   48.000, 3100,  43.345,  50.827,  14.119,  24.374,  28.834,   8.009, 89,  0,   3.509,   4.271,   1.186,   6.604,   7.693,   2.137,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:27:101, 158743745517279,    1.249,   48.000, 3100,  46.050,  55.748,  15.485,  26.325,  31.647,   8.791, 91,  0,   3.727,   4.669,   1.297,   7.159,   8.458,   2.350,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:27:212, 158743990417236,    1.360,   42.000, 3000,  44.241,  60.655,  16.849,  24.739,  34.391,   9.553, 92,  0,   3.616,   5.070,   1.408,   6.943,   9.228,   2.563,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:27:234, 158744040498691,    1.382,  270.000, 3100,  42.759,  61.625,  17.118,  22.986,  34.912,   9.698, 89,  0,   3.531,   5.150,   1.431,   6.741,   9.381,   2.606,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.382495
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 61.624512
Cumulative Processor Energy_0 (mWh) = 17.117920
Average Processor Power_0 (Watt) = 44.574850

Cumulative IA Energy_0 (Joules) = 34.911987
Cumulative IA Energy_0 (mWh) = 9.697774
Average IA Power_0 (Watt) = 25.252883

Cumulative DRAM Energy_0 (Joules) = 5.150085
Cumulative DRAM Energy_0 (mWh) = 1.430579
Average DRAM Power_0 (Watt) = 3.725211

Cumulative GT Energy_0 (Joules) = 9.381348
Cumulative GT Energy_0 (mWh) = 2.605930
Average GT Power_0 (Watt) = 6.785809
