System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:42:617, 158778004308725,    0.109,   45.000, 3500,  48.192,   5.272,   1.464,  29.006,   3.173,   0.881, 94,  0,   3.495,   0.382,   0.106,   6.473,   0.708,   0.197,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:42:727, 158778247836071,    0.220,   43.000, 3200,  51.439,  10.945,   3.040,  32.479,   6.755,   1.876, 96,  0,   3.506,   0.769,   0.214,   6.666,   1.443,   0.401,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:42:850, 158778519422519,    0.343,   45.000, 3200,  49.261,  17.004,   4.723,  29.883,  10.431,   2.897, 94,  0,   3.652,   1.218,   0.338,   6.861,   2.287,   0.635,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:42:960, 158778762815574,    0.453,   45.000, 3200,  49.597,  22.471,   6.242,  30.271,  13.768,   3.824, 95,  0,   3.640,   1.620,   0.450,   6.960,   3.054,   0.848,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:43:082, 158779032886104,    0.575,   47.000, 3300,  49.871,  28.571,   7.936,  30.020,  17.439,   4.844, 95,  0,   3.751,   2.078,   0.577,   7.027,   3.914,   1.087,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:43:204, 158779302750260,    0.697,   50.000, 3300,  50.538,  34.748,   9.652,  31.161,  21.248,   5.902, 95,  0,   3.693,   2.530,   0.703,   6.944,   4.763,   1.323,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:43:312, 158779540041736,    0.805,   50.000, 3300,  50.100,  40.132,  11.148,  31.019,  24.581,   6.828, 94,  0,   3.690,   2.926,   0.813,   6.753,   5.488,   1.525,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:43:434, 158779808424668,    0.926,   41.000, 3200,  47.898,  45.954,  12.765,  28.341,  28.026,   7.785, 94,  0,   3.564,   3.359,   0.933,   7.000,   6.339,   1.761,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:43:556, 158780078152933,    1.049,   85.000, 2800,  49.717,  52.028,  14.452,  30.577,  31.762,   8.823, 94,  0,   3.994,   3.847,   1.069,   6.514,   7.135,   1.982,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:43:680, 158780352981469,    1.173,   78.000, 2900,  47.836,  57.982,  16.106,  28.903,  35.359,   9.822, 95,  0,   3.920,   4.335,   1.204,   6.163,   7.902,   2.195,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:43:803, 158780625149712,    1.296,   43.000, 3000,  41.559,  63.104,  17.529,  22.803,  38.170,  10.603, 92,  0,   3.318,   4.744,   1.318,   6.472,   8.700,   2.417,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:43:837, 158780699791961,    1.330,  102.000, 3100,  31.896,  64.183,  17.829,  14.688,  38.667,  10.741, 88,  0,   1.614,   4.799,   1.333,   5.436,   8.884,   2.468,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.330165
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 64.182739
Cumulative Processor Energy_0 (mWh) = 17.828539
Average Processor Power_0 (Watt) = 48.251716

Cumulative IA Energy_0 (Joules) = 38.666504
Cumulative IA Energy_0 (mWh) = 10.740696
Average IA Power_0 (Watt) = 29.068955

Cumulative DRAM Energy_0 (Joules) = 4.798828
Cumulative DRAM Energy_0 (mWh) = 1.333008
Average DRAM Power_0 (Watt) = 3.607694

Cumulative GT Energy_0 (Joules) = 8.883545
Cumulative GT Energy_0 (mWh) = 2.467651
Average GT Power_0 (Watt) = 6.678529
